Sheet,Title as published,Group
T 5.19,"Table 5.19 : Distribution of slums by locality (City Corporation, Municipalities & Other Urban Areas)",Theme 5 table
T 5.37 (2),Key Findings of Population and Housing Census (1974-2022),Theme 5 table
T 5.39 (7),"Access to Selected Basic Services for Population, 2019-2024",Theme 5 table
T 5.39 (8),"Access to selected basic services for Population, 2000-2024",Theme 5 table
T 5.42,"Different Types of Roads & Highways, 2011-2024",Theme 5 table
T 5.43,"Number of Registered Motor Vehicles by Category, 2015-2019",Theme 5 table
T 5.48,"Environmental Concerns Specific to Urban Settlements,Dhaka, 2015-2019",Theme 5 table
T 5.48 (2),"Environmental Concerns Specific to Uurban Settlements,Dhaka, 2015-2018",Theme 5 table
T 5.59,"Airborne Diseases by District, 2017-2020",Theme 5 table
T 5.61,"Waterborne Disease, by District, 2017-2020",Theme 5 table
T 5.62,"Vector Borne Diseases by District, 2017-2020",Theme 5 table
T 6.01,"Government environmental protection and resource management expenditure by District, 2019-20",Theme 6 table
T 6.03 (2),Total Expenditure (Current and Capital Expenditure) on Natural Resource Management (Million BDT.),Theme 6 table
T 6.03 (3),Total Expenditure (Current & Capital) to Protect Environment (Million BDT.),Theme 6 table
T 6.04 (2),"Government Environmental Institutions and their Resources, 2019-20 to 2023-24",Theme 6 table
T 6.04 (3),"Government Environmental Institutions and their Resources, 2019-20 to 2023-24",Theme 6 table
T 6.04 (4),"Government Environmental Institutions and their Resources, 2019-20 to 2023-24",Theme 6 table
T 6.05,"Participation in MEAs and Environmental Conventions, 2015-2024",Theme 6 table
T1.04,Annual Rainfall at Selected Stations of Bangladesh 2011-18,Theme 1 table
T1.22,Main Rivers According to Length,Theme 1 table
T1.24,Areas of Major Standing Water Bodies,Theme 1 table
T1.25,Lakes of Bangladesh,Theme 1 table
T1.30,"Length of District wise International Boundary along with India (West Bengal/ Assam/Meghalaya/ Tripura Sector), 2024",Theme 1 table
T1.32,Coastal and Territorial Sea Waters Areas of Bangladesh,Theme 1 table
T1.33,Territorial Sea:,Theme 1 table
T1.33b,Exclusive Economic Zone:,Theme 1 table
T1.34,Soil Characteristics by Area and Location,Theme 1 table
T1.41,"Salinization by District, 1973, 2000, 2009",Theme 1 table
T1.42,River Erosion 2020,Theme 1 table
T1.43,"Acidification, 2000",Theme 1 table
T1.47 (10),"Area under Land Cover Categories, 2015 & 2023 (In Sq. Km)",Theme 1 table
T1.47 (11),"Area under Land Cover Categories, 2015 & 2023 (In Sq. Km)",Theme 1 table
T1.47 (12),"Area under Land Cover Categories, 2015 & 2023 (In Sq. Km)",Theme 1 table
T1.47 (13),"Area under Land Cover Categories, 2015 & 2023 (In Sq. Km)",Theme 1 table
T1.47 (3),"Area under Land Cover Categories, 2015 & 2023 (In Sq. Km)",Theme 1 table
T1.47 (4),"Area under Land Cover Categories, 2015 & 2023 (In Sq. Km)",Theme 1 table
T1.47 (5),"Area under Land Cover Categories, 2015 & 2023 (In Sq. Km)",Theme 1 table
T1.47 (6),"Area under Land Cover Categories, 2015 & 2023 (In Sq. Km)",Theme 1 table
T1.47 (7),"Area under Land Cover Categories, 2015 & 2023 (In Sq. Km)",Theme 1 table
