Station_Name,Year,Month,Day,Sample_No,Radiation,Block
Bogura,2019,1,7,6,3.3,B15
Bogura,2019,1,8,6,0.424,B15
Bogura,2019,1,9,6,3.9,B15
Bogura,2019,1,10,6,0.499,B15
Bogura,2019,1,11,6,4,B15
Bogura,2019,1,12,6,0.512,B15
Bogura,2019,1,13,6,3.5,B15
Bogura,2019,1,14,6,0.449,B15
Bogura,2019,1,15,6,3.5,B15
Bogura,2019,1,16,6,0.449,B15
Bogura,2019,1,17,6,3.5,B15
Bogura,2019,1,18,6,0.449,B15
Bogura,2019,1,19,6,3.7,B15
Bogura,2019,1,20,6,0.474,B15
Bogura,2019,1,21,6,3.3,B15
Bogura,2019,1,22,6,0.424,B15
Bogura,2019,1,23,6,3.9,B15
Bogura,2019,1,24,6,0.499,B15
Bogura,2019,1,25,6,4,B15
Bogura,2019,1,26,6,0.512,B15
Bogura,2019,1,27,6,3.5,B15
Bogura,2019,1,28,6,0.449,B15
Bogura,2019,1,29,6,4.1,B15
Bogura,2019,1,30,6,0.524,B15
Bogura,2019,1,31,6,3.6,B15
Bogura,2019,1,1,7,4.3,B15
Bogura,2019,1,2,7,0.549,B15
Bogura,2019,1,3,7,3.5,B15
Bogura,2019,1,4,7,0.449,B15
Bogura,2019,1,5,7,3.8,B15
Bogura,2019,1,6,7,0.487,B15
Bogura,2019,1,7,7,3.2,B15
Bogura,2019,1,8,7,0.412,B15
Bogura,2019,1,9,7,3.2,B15
Bogura,2019,1,10,7,0.412,B15
Bogura,2019,1,11,7,3.7,B15
Bogura,2019,1,12,7,0.474,B15
Bogura,2019,1,13,7,3.1,B15
Bogura,2019,1,14,7,0.4,B15
Bogura,2019,1,15,7,3.3,B15
Bogura,2019,1,16,7,0.424,B15
Bogura,2019,1,17,7,2.4,B15
Bogura,2019,1,18,7,0.312,B15
Bogura,2019,1,19,7,3.4,B15
Bogura,2019,1,20,7,0.437,B15
Bogura,2019,1,21,7,3.8,B15
Bogura,2019,1,22,7,0.487,B15
Bogura,2019,1,23,7,3.5,B15
Bogura,2019,1,24,7,0.449,B15
Bogura,2019,1,25,7,3.8,B15
Bogura,2019,1,26,7,0.487,B15
Bogura,2019,1,27,7,3.4,B15
Bogura,2019,1,28,7,0.437,B15
Bogura,2019,1,29,7,3.9,B15
Bogura,2019,1,30,7,0.499,B15
Bogura,2019,1,31,7,3.7,B15
Bogura,2019,1,1,8,4.2,B15
Bogura,2019,1,2,8,0.537,B15
Bogura,2019,1,3,8,3.2,B15
Bogura,2019,1,4,8,0.412,B15
Bogura,2019,1,5,8,3,B15
Bogura,2019,1,6,8,0.387,B15
Bogura,2019,1,7,8,3,B15
Bogura,2019,1,8,8,0.387,B15
Bogura,2019,1,9,8,2.8,B15
Bogura,2019,1,10,8,0.362,B15
Bogura,2019,1,11,8,3.1,B15
Bogura,2019,1,12,8,0.4,B15
Bogura,2019,1,13,8,2.3,B15
Bogura,2019,1,14,8,0.3,B15
Bogura,2019,1,15,8,2.8,B15
Bogura,2019,1,16,8,0.362,B15
Bogura,2019,1,17,8,2.4,B15
Bogura,2019,1,18,8,0.312,B15
Bogura,2019,1,19,8,3.1,B15
Bogura,2019,1,20,8,0.4,B15
Bogura,2019,1,21,8,4,B15
Bogura,2019,1,22,8,0.512,B15
Bogura,2019,1,23,8,3.3,B15
Bogura,2019,1,24,8,0.424,B15
Bogura,2019,1,25,8,3.4,B15
Bogura,2019,1,26,8,0.437,B15
