District_Name,Well_No,Well_ID,Latitude,Longitude,Upazilla
Sherpur,163,JA009,25.15,89.97,Sreebardi
Barguna,164,PT003,22.15,90.16,Barguna Sadar
Barguna,165,PT006,22.2,90.29,Amtali
Barisal,166,BA001,22.71,90.36,Barisal Sadar
Barisal,167,BA003,22.84,90.52,Mehendiganj
Barisal,168,BA006,22.61,90.45,Bakerganj
Barisal,169,BA009,22.82,90.21,Banaripara
Barisal,170,BA010,22.83,90.28,Babuganj
Barisal,171,BA013,22.92,90.26,Gaurnadi
Barisal,172,BA011,22.96,90.52,Hizla
Bhola,173,BA004,22.67,90.64,Bhola Sadar
Bhola,174,BA028,22.2,90.75,Char Fasson
Bhola,175,BA029,22.63,90.75,Daulatkhan
Bhola,176,BA024,22.31,90.79,Lalmohan
Faridpur,177,FS002,23.75,89.79,Alfadanga
Faridpur,178,FA020,23.4,89.96,Bhanga
Faridpur,179,FA057,23.41,89.72,Boalmari
Faridpur,180,FA022,23.57,89.95,Char Bhadrasan
Faridpur,181,FA017,23.55,89.78,Faridpur Sadar
Faridpur,182,FA006,23.6,89.57,Madhukhali
Faridpur,183,FA046,23.44,89.79,Nagarkanda
Faridpur,184,FA038,23.51,89.94,Sadarpur
Gopalganj,185,FA027,23.12,89.91,Gopalganj Sadar
Gopalganj,186,FA012,23.22,89.72,Kashiani
Gopalganj,187,FA013,22.94,89.99,Kotalipara
Jhalokathi,190,BA007,22.63,90.19,Jhalokathi Sadar
Jhalokathi,191,BA019,22.61,90.16,Rajapur
Madaripur,192,FA035,23.26,90.25,Madaripur Sadar
Madaripur,193,FA031,23.2,90.03,Rajoir
Madaripur,194,FA021,23.37,90.2,Shibchar
Patuakhali,195,PT002,22.19,90.44,Galachipa
Patuakhali,196,PT007,22.35,90.21,Mirzaganj
Patuakhali,197,PT004,22.25,90.06,Patuakhali Sadar
Pirojpur,198,BA021,22.41,89.97,Bhandaria
Pirojpur,199,BA018,22.62,90.07,Kawkhali
Pirojpur,200,BA027,22.37,89.98,Mathbaria
Pirojpur,201,BA015,22.64,89.98,Pirojpur Sadar
Pirojpur,202,BA016,22.72,90.12,Nesarabad( Swarupkathi)
Rajbari,203,FA009,23.69,89.58,Baliakandi
Rajbari,204,FS009,23.71,89.78,Goalandaghat
Rajbari,205,FA015,23.78,89.5,Pangsha
Rajbari,206,FA016,23.68,89.71,Rajbari Sadar
Shariatpur,207,FA024,23.2,90.45,Bhedarganj
Shariatpur,208,FA061,23.07,90.42,Gosairhat
Shariatpur,209,FA023,23.3,90.38,Naria
Shariatpur,210,FS012,23.22,90.35,Shariatpur Sadar
Shariatpur,211,FA034,23.29,90.28,Zanjira
