Station_Name,Year,Month,Rainfall,Block
Sylhet,2014,4,118,B05
Sylhet,2014,5,540,B05
Sylhet,2014,6,724,B05
Sylhet,2014,7,316,B05
Sylhet,2014,8,797,B05
Sylhet,2014,9,732,B05
Sylhet,2014,10,33,B05
Sylhet,2014,11,0,B05
Sylhet,2014,12,0,B05
Bogura,2011,1,1,B05
Bogura,2011,2,0,B05
Bogura,2011,3,7,B05
Bogura,2011,4,145,B05
Bogura,2011,5,194,B05
Bogura,2011,6,193,B05
Bogura,2011,7,175,B05
Bogura,2011,8,606,B05
Bogura,2011,9,389,B05
Bogura,2011,10,0,B05
Bogura,2011,11,11,B05
Bogura,2011,12,0,B05
Bogura,2012,1,19,B05
Bogura,2012,2,0,B05
Bogura,2012,3,0,B05
Bogura,2012,4,74,B05
Bogura,2012,5,94,B05
Bogura,2012,6,147,B05
Bogura,2012,7,186,B05
Bogura,2012,8,164,B05
Bogura,2012,9,345,B05
Bogura,2012,10,74,B05
Bogura,2012,11,36,B05
Bogura,2012,12,1,B05
Bogura,2013,1,0,B05
Bogura,2013,2,22,B05
Bogura,2013,3,3,B05
Bogura,2013,4,0,B05
Bogura,2013,5,152,B05
Bogura,2013,6,204,B05
Bogura,2013,7,283,B05
Bogura,2013,8,256,B05
Bogura,2013,9,99,B05
Bogura,2013,10,200,B05
Bogura,2013,11,0,B05
Bogura,2013,12,0,B05
Bogura,2014,1,0,B05
Bogura,2014,2,46,B05
Bogura,2014,3,8,B05
Bogura,2014,4,43,B05
Bogura,2014,5,196,B05
Bogura,2014,6,585,B05
Bogura,2014,7,211,B05
Bogura,2014,8,226,B05
Bogura,2014,9,329,B05
Bogura,2014,10,64,B05
Bogura,2014,11,0,B05
Bogura,2014,12,0,B05
Dinajpur,2011,1,0,B05
Dinajpur,2011,2,28,B05
Dinajpur,2011,3,27,B05
Dinajpur,2011,4,61,B05
Dinajpur,2011,5,250,B05
Dinajpur,2011,6,348,B05
Dinajpur,2011,7,285,B05
Dinajpur,2011,8,381,B05
Dinajpur,2011,9,261,B05
Dinajpur,2011,10,0,B05
Dinajpur,2011,11,3,B05
Dinajpur,2011,12,0,B05
