District_Name,Fiscal_Start_Year,Fiscal_End_Year,Reserved_Forest_Section_20_Acre,Reserved_Forest_Section_4_6_Acre,Protected_Area,Acquired_Vested_Forest,Unclassed_State_Forest_FD_Acre,Total_Forest_FD_Acre,Unclassed_State_Forest_Admin_Acre,Total_Forest_Land
Satkhira,2023,2024,370354.18,,0,0,0,370354.18,0,370354.18
Rangpur,2019,2020,1678.47,1749.03,0,21.54,0,3449.04,0,3449.04
Rangpur,2020,2021,1678.47,1749.03,0,21.54,0,3449.04,0,3449.04
Rangpur,2021,2022,1678.47,1749.03,0,21.54,0,3449.04,0,3449.04
Rangpur,2022,2023,1678.47,1749.03,0,21.54,0,3449.04,0,3449.04
Rangpur,2023,2024,1678.47,1749.03,0,21.54,0,3449.04,0,3449.04
Nilphamari,2019,2020,0,,648.59,551.49,0,1200.08,0,1200.08
Nilphamari,2020,2021,0,,648.59,551.49,0,1200.08,0,1200.08
Nilphamari,2021,2022,0,,648.59,551.49,0,1200.08,0,1200.08
Nilphamari,2022,2023,0,,648.59,551.49,0,1200.08,0,1200.08
Nilphamari,2023,2024,0,,648.59,551.49,0,1200.08,0,1200.08
Kurigram,2019,2020,128.59,,0,0,0,128.59,0,128.59
Kurigram,2020,2021,128.59,,0,0,0,128.59,0,128.59
Kurigram,2021,2022,128.59,,0,0,0,128.59,0,128.59
Kurigram,2022,2023,128.59,,0,0,0,128.59,0,128.59
Kurigram,2023,2024,128.59,,0,0,0,128.59,0,128.59
Lalmonirhat,2019,2020,82.62,,0,0,0,82.62,0,82.62
Lalmonirhat,2020,2021,82.62,,0,0,0,82.62,0,82.62
Lalmonirhat,2021,2022,82.62,,0,0,0,82.62,0,82.62
Lalmonirhat,2022,2023,82.62,,0,0,0,82.62,0,82.62
Lalmonirhat,2023,2024,82.62,,0,0,0,82.62,0,82.62
Dinajpur,2019,2020,14609.76,3455.38,0,0,0,18065.14,0,18065.14
Dinajpur,2020,2021,14609.76,3455.38,0,0,0,18065.14,0,18065.14
Dinajpur,2021,2022,14609.76,3455.38,0,0,0,18065.14,0,18065.14
Dinajpur,2022,2023,14609.76,3455.38,0,0,0,18065.14,0,18065.14
Dinajpur,2023,2024,14609.76,3455.38,0,0,0,18065.14,0,18065.14
Thakurgaon,2019,2020,1591.68,,0,0,0,1591.68,0,1591.68
