Station_Name,Year,Month,Humidity,Block
Srimangal,2014,2,76,B08
Srimangal,2014,3,68,B08
Srimangal,2014,4,72,B08
Srimangal,2014,5,80,B08
Srimangal,2014,6,85,B08
Srimangal,2014,7,82,B08
Srimangal,2014,8,85,B08
Srimangal,2014,9,85,B08
Srimangal,2014,10,83,B08
Srimangal,2014,11,81,B08
Srimangal,2014,12,84,B08
Sylhet,2011,1,77,B08
Sylhet,2011,2,64,B08
Sylhet,2011,3,64,B08
Sylhet,2011,4,69,B08
Sylhet,2011,5,80,B08
Sylhet,2011,6,85,B08
Sylhet,2011,7,86,B08
Sylhet,2011,8,85,B08
Sylhet,2011,9,82,B08
Sylhet,2011,10,77,B08
Sylhet,2011,11,72,B08
Sylhet,2011,12,75,B08
Sylhet,2012,1,76,B08
Sylhet,2012,2,60,B08
Sylhet,2012,3,63,B08
Sylhet,2012,4,77,B08
Sylhet,2012,5,77,B08
Sylhet,2012,6,88,B08
Sylhet,2012,7,84,B08
Sylhet,2012,8,84,B08
Sylhet,2012,9,84,B08
Sylhet,2012,10,81,B08
Sylhet,2012,11,77,B08
Sylhet,2012,12,82,B08
Sylhet,2013,1,74,B08
Sylhet,2013,2,62,B08
Sylhet,2013,3,60,B08
Sylhet,2013,4,69,B08
Sylhet,2013,5,83,B08
Sylhet,2013,6,81,B08
Sylhet,2013,7,83,B08
Sylhet,2013,8,85,B08
Sylhet,2013,9,83,B08
Sylhet,2013,10,81,B08
Sylhet,2013,11,74,B08
Sylhet,2013,12,75,B08
Sylhet,2014,1,75,B08
Sylhet,2014,2,73,B08
Sylhet,2014,3,62,B08
Sylhet,2014,4,63,B08
Sylhet,2014,5,79,B08
Sylhet,2014,6,86,B08
Sylhet,2014,7,81,B08
Sylhet,2014,8,86,B08
Sylhet,2014,9,85,B08
Sylhet,2014,10,77,B08
Sylhet,2014,11,74,B08
Sylhet,2014,12,77,B08
Bogura,2011,1,79,B08
Bogura,2011,2,68,B08
Bogura,2011,3,66,B08
Bogura,2011,4,71,B08
Bogura,2011,5,77,B08
Bogura,2011,6,81,B08
Bogura,2011,7,82,B08
Bogura,2011,8,85,B08
Bogura,2011,9,83,B08
Bogura,2011,10,77,B08
Bogura,2011,11,75,B08
Bogura,2011,12,81,B08
Bogura,2012,1,74,B08
Bogura,2012,2,63,B08
Bogura,2012,3,60,B08
Bogura,2012,4,70,B08
Bogura,2012,5,71,B08
Bogura,2012,6,80,B08
Bogura,2012,7,83,B08
Bogura,2012,8,82,B08
Bogura,2012,9,83,B08
Bogura,2012,10,78,B08
Bogura,2012,11,74,B08
Bogura,2012,12,84,B08
Bogura,2013,1,76,B08
Bogura,2013,2,67,B08
Bogura,2013,3,63,B08
Bogura,2013,5,81,B08
Bogura,2013,6,79,B08
Bogura,2013,7,81,B08
Bogura,2013,8,85,B08
Bogura,2013,9,81,B08
Bogura,2013,10,82,B08
Bogura,2013,11,73,B08
Bogura,2013,12,78,B08
Bogura,2014,1,82,B08
Bogura,2014,2,72,B08
Bogura,2014,3,62,B08
Bogura,2014,4,62,B08
Bogura,2014,5,72,B08
Bogura,2014,6,83,B08
Bogura,2014,7,83,B08
Bogura,2014,8,85,B08
Bogura,2014,9,85,B08
Bogura,2014,10,79,B08
Bogura,2014,11,73,B08
Bogura,2014,12,83,B08
Dinajpur,2011,1,81,B08
Dinajpur,2011,2,71,B08
Dinajpur,2011,3,67,B08
Dinajpur,2011,4,73,B08
Dinajpur,2011,5,79,B08
Dinajpur,2011,6,82,B08
Dinajpur,2011,7,83,B08
Dinajpur,2011,8,84,B08
Dinajpur,2011,9,83,B08
Dinajpur,2011,10,80,B08
Dinajpur,2011,11,77,B08
Dinajpur,2011,12,82,B08
Dinajpur,2012,1,79,B08
Dinajpur,2012,2,67,B08
Dinajpur,2012,3,62,B08
Dinajpur,2012,4,67,B08
Dinajpur,2012,5,72,B08
Dinajpur,2012,6,82,B08
Dinajpur,2012,7,83,B08
Dinajpur,2012,8,81,B08
Dinajpur,2012,9,84,B08
Dinajpur,2012,10,80,B08
Dinajpur,2012,11,75,B08
Dinajpur,2012,12,84,B08
Dinajpur,2013,1,78,B08
Dinajpur,2013,2,69,B08
Dinajpur,2013,3,64,B08
Dinajpur,2013,4,69,B08
Dinajpur,2013,5,80,B08
Dinajpur,2013,6,81,B08
Dinajpur,2013,7,82,B08
Dinajpur,2013,8,85,B08
Dinajpur,2013,9,81,B08
Dinajpur,2013,10,85,B08
Dinajpur,2013,11,77,B08
Dinajpur,2013,12,81,B08
Dinajpur,2014,1,84,B08
Dinajpur,2014,2,76,B08
Dinajpur,2014,3,64,B08
Dinajpur,2014,4,62,B08
Dinajpur,2014,5,72,B08
Dinajpur,2014,6,82,B08
Dinajpur,2014,7,82,B08
Dinajpur,2014,8,84,B08
Dinajpur,2014,9,85,B08
Dinajpur,2014,10,82,B08
Dinajpur,2014,11,78,B08
Dinajpur,2014,12,83,B08
Ishurdi,2011,1,79,B08
Ishurdi,2011,2,71,B08
Ishurdi,2011,3,65,B08
Ishurdi,2011,4,71,B08
Ishurdi,2011,5,78,B08
Ishurdi,2011,6,82,B08
Ishurdi,2011,7,83,B08
Ishurdi,2011,8,87,B08
Ishurdi,2011,9,85,B08
Ishurdi,2011,10,81,B08
Ishurdi,2011,11,79,B08
Ishurdi,2011,12,84,B08
Ishurdi,2012,1,79,B08
Ishurdi,2012,2,66,B08
Ishurdi,2012,3,60,B08
Ishurdi,2012,4,68,B08
Ishurdi,2012,5,71,B08
Ishurdi,2012,6,81,B08
Ishurdi,2012,7,87,B08
Ishurdi,2012,8,86,B08
Ishurdi,2012,9,86,B08
Ishurdi,2012,10,83,B08
Ishurdi,2012,11,80,B08
Ishurdi,2012,12,86,B08
Ishurdi,2013,1,81,B08
Ishurdi,2013,2,74,B08
Ishurdi,2013,3,63,B08
Ishurdi,2013,4,63,B08
Ishurdi,2013,5,81,B08
Ishurdi,2013,6,83,B08
Ishurdi,2013,7,82,B08
Ishurdi,2013,8,85,B08
Ishurdi,2013,9,84,B08
Ishurdi,2013,10,85,B08
Ishurdi,2013,11,78,B08
Ishurdi,2013,12,81,B08
Ishurdi,2014,1,83,B08
Ishurdi,2014,2,76,B08
Ishurdi,2014,3,64,B08
Ishurdi,2014,4,61,B08
Ishurdi,2014,5,69,B08
Ishurdi,2014,6,83,B08
Ishurdi,2014,7,85,B08
Ishurdi,2014,8,84,B08
Ishurdi,2014,9,83,B08
Ishurdi,2014,10,82,B08
Ishurdi,2014,11,77,B08
Ishurdi,2014,12,83,B08
Rajshahi,2011,1,80,B08
Rajshahi,2011,2,73,B08
Rajshahi,2011,3,64,B08
Rajshahi,2011,4,72,B08
Rajshahi,2011,5,81,B08
Rajshahi,2011,6,84,B08
Rajshahi,2011,7,85,B08
Rajshahi,2011,8,88,B08
Rajshahi,2011,9,86,B08
Rajshahi,2011,10,82,B08
Rajshahi,2011,11,80,B08
Rajshahi,2011,12,83,B08
Rajshahi,2012,1,79,B08
Rajshahi,2012,2,66,B08
Rajshahi,2012,3,58,B08
Rajshahi,2012,4,69,B08
Rajshahi,2012,5,67,B08
Rajshahi,2012,6,80,B08
Rajshahi,2012,7,86,B08
Rajshahi,2012,8,85,B08
Rajshahi,2012,9,86,B08
Rajshahi,2012,10,80,B08
Rajshahi,2012,11,78,B08
Rajshahi,2012,12,85,B08
Rajshahi,2013,1,79,B08
Rajshahi,2013,2,74,B08
Rajshahi,2013,3,64,B08
Rajshahi,2013,4,62,B08
Rajshahi,2013,5,80,B08
Rajshahi,2013,6,83,B08
Rajshahi,2013,7,83,B08
Rajshahi,2013,8,86,B08
Rajshahi,2013,9,84,B08
Rajshahi,2013,10,86,B08
Rajshahi,2013,11,76,B08
Rajshahi,2013,12,80,B08
Rajshahi,2014,1,82,B08
Rajshahi,2014,2,76,B08
Rajshahi,2014,3,65,B08
Rajshahi,2014,4,63,B08
Rajshahi,2014,5,70,B08
Rajshahi,2014,6,84,B08
Rajshahi,2014,7,86,B08
Rajshahi,2014,8,86,B08
Rajshahi,2014,9,84,B08
Rajshahi,2014,10,82,B08
Rajshahi,2014,11,77,B08
Rajshahi,2014,12,83,B08
Rangpur,2011,1,84,B08
Rangpur,2011,2,74,B08
Rangpur,2011,3,70,B08
Rangpur,2011,4,74,B08
Rangpur,2011,5,81,B08
Rangpur,2011,6,82,B08
Rangpur,2011,7,83,B08
Rangpur,2011,8,84,B08
Rangpur,2011,9,82,B08
Rangpur,2011,10,80,B08
Rangpur,2011,11,78,B08
Rangpur,2011,12,83,B08
Rangpur,2012,1,80,B08
Rangpur,2012,2,70,B08
Rangpur,2012,3,63,B08
Rangpur,2012,4,72,B08
Rangpur,2012,5,76,B08
Rangpur,2012,6,83,B08
Rangpur,2012,7,84,B08
Rangpur,2012,8,80,B08
Rangpur,2012,9,84,B08
Rangpur,2012,10,80,B08
Rangpur,2012,11,76,B08
Rangpur,2012,12,86,B08
Rangpur,2013,1,80,B08
Rangpur,2013,2,72,B08
Rangpur,2013,3,66,B08
Rangpur,2013,4,70,B08
Rangpur,2013,5,82,B08
Rangpur,2013,6,81,B08
Rangpur,2013,7,81,B08
Rangpur,2013,8,84,B08
Rangpur,2013,9,82,B08
Rangpur,2013,10,83,B08
Rangpur,2013,11,77,B08
Rangpur,2013,12,80,B08
Rangpur,2014,1,84,B08
Rangpur,2014,2,76,B08
Rangpur,2014,3,64,B08
Rangpur,2014,4,63,B08
Rangpur,2014,5,75,B08
Rangpur,2014,6,83,B08
Rangpur,2014,7,81,B08
Rangpur,2014,8,85,B08
Rangpur,2014,9,86,B08
Rangpur,2014,10,80,B08
Rangpur,2014,11,77,B08
