StationID,Latitude,Longitude
GT5883032,24.32,91.75
GT5883033,24.43,91.62
GT5883034,24.23,91.74
GT5883035,24.25,91.71
GT5883036,24.36,91.75
GT5883037,24.38,91.72
GT5883038,24.37,91.65
GT5883039,24.18,91.75
GT5883040,24.34,91.72
GT5924001,23.51,90.64
GT5924002,23.58,90.64
GT5944003,23.44,90.37
GT5944004,23.46,90.41
GT5956005,23.51,90.54
GT5974006,23.63,90.28
GT5974007,23.59,90.36
GT5984008,23.53,90.26
GT5994009,23.44,90.47
GT6113001,24.36,90.3
GT6113002,24.37,90.44
GT6113003,24.36,90.36
GT6113004,24.43,90.45
GT6120005,24.61,90.27
GT6120006,24.52,90.26
GT6120007,24.57,90.32
GT6122008,24.46,90.56
GT6122009,24.35,90.56
GT6122010,24.4,90.6
GT6123011,24.79,90.6
GT6123012,24.75,90.64
GT6124013,25.13,90.34
GT6124014,25.08,90.37
GT6124015,25.04,90.32
GT6131016,24.61,90.64
GT6131017,24.69,90.54
GT6131018,24.64,90.55
GT6131019,24.61,90.59
GT6152020,24.8,90.39
GT6152021,24.83,90.32
GT6165022,24.78,90.19
GT6165023,24.73,90.22
GT6165024,24.71,90.27
GT6165025,24.78,90.25
GT6172026,24.55,90.59
GT6172027,24.55,90.68
GT6172028,24.59,90.75
GT6172029,24.53,90.75
GT6172030,24.54,90.74
GT6181031,24.9,90.43
GT6181032,24.91,90.34
GT6181033,24.97,90.46
GT6181034,24.95,90.3
GT6181035,24.85,90.47
GT6194036,24.61,90.41
GT6194037,24.58,90.46
GT6194038,24.54,90.46
GT6403001,24.66,88.89
GT6403002,24.66,88.96
GT6403003,24.61,89
GT6406004,25.02,88.95
GT6406005,24.92,88.96
GT6406006,24.97,88.97
GT6428007,25.17,88.74
GT6428008,25.14,88.92
GT6428009,25.09,88.92
GT6428010,25.18,88.85
GT6428011,25.07,88.87
GT6428012,25.14,88.77
GT6428013,25.12,88.86
GT6447021,24.84,88.67
GT6447022,24.78,88.76
GT6447023,24.75,88.69
GT6447024,24.68,88.69
GT6450014,24.98,88.75
GT6450015,24.88,88.81
GT6450016,24.9,88.73
GT6450017,24.93,88.77
GT6450018,24.94,88.69
GT6450019,24.85,88.75
GT6450020,24.97,88.82
GT6459028,24.83,88.57
GT6459029,24.82,88.57
GT6459030,24.88,88.6
GT6459031,24.93,88.54
GT6459032,24.88,88.56
GT6459033,24.8,88.61
GT6459034,24.77,88.51
GT6459503,24.74,88.55
GT6459504,24.93,88.58
GT6460025,24.76,88.9
GT6460026,24.9,88.9
GT6460027,24.84,88.9
GT6475035,25.1,88.64
GT6475036,25.05,88.64
GT6475037,25.04,88.72
GT6475038,25.02,88.67
GT6475039,25.16,88.62
GT6475040,25.1,88.72
GT6475041,25.03,88.81
GT6475042,25.07,88.76
GT6479043,24.99,88.6
GT6479044,25.02,88.45
GT6479045,24.97,88.47
GT6479046,25.01,88.54
GT6479502,25.03,88.47
GT6479505,25.07,88.46
GT6485047,24.69,89.07
GT6485048,24.73,89.03
GT6486049,25.13,88.51
GT6486050,25.15,88.56
GT6486051,25.1,88.57
GT6486052,25.05,88.58
GT6486501,25.19,88.51
GT6538001,23.01,89.62
GT6552002,23.26,89.59
GT6552003,23.16,89.64
GT6552004,23.1,89.65
GT6552005,23.21,89.62
GT6576006,23.13,89.44
GT6576007,23.08,89.52
GT6576008,23.18,89.44
GT6576009,23.22,89.49
GT6576501,23.07,89.47
GT6576502,23.24,89.45
GT6702001,23.74,90.68
GT6702002,23.69,90.72
GT6704003,23.66,90.63
GT6704004,23.73,90.6
GT6758005,23.65,90.51
GT6758006,23.59,90.52
GT6768007,23.86,90.56
GT6768008,23.86,90.52
GT6852001,24.2,90.74
GT6852002,24.15,90.74
GT6852003,24.1,90.75
GT6860004,23.88,90.68
GT6863005,23.96,90.67
GT6864006,24.01,90.9
GT6864007,23.96,90.9
GT6864008,23.92,90.94
GT6864009,23.96,90.95
GT6864010,24,90.93
GT6864011,24.02,90.96
GT6876012,24,90.78
GT6876013,24.04,90.74
GT6876014,23.99,90.68
GT6909501,24.33,88.92
GT6915002,24.25,89.21
GT6915003,24.28,89.14
GT6915004,24.31,89.22
GT6915503,24.33,89.14
GT6941001,24.39,89.19
GT6941005,24.42,89.25
GT6944006,24.17,88.96
GT6944007,24.25,88.99
GT6944008,24.19,88.92
GT6944009,24.18,88.98
GT6944010,24.21,89
GT6944502,24.16,88.95
GT6944505,24.27,88.97
GT6963011,24.47,88.98
GT6963012,24.53,88.99
GT6963504,24.45,89.04
GT6991013,24.61,89.2
GT6991014,24.57,89.14
GT6991015,24.47,89.14
GT6991016,24.53,89.2
GT7018504,24.91,88.18
GT7018507,24.89,88.23
GT7037001,24.86,88.44
GT7037002,24.87,88.45
GT7037003,24.93,88.41
GT7037004,24.85,88.27
GT7037005,24.8,88.3
GT7037508,24.88,88.38
GT7037509,24.85,88.34
GT7056006,24.68,88.43
GT7056007,24.71,88.38
GT7056008,24.74,88.43
GT7056009,24.8,88.39
GT7056010,24.73,88.3
GT7056011,24.76,88.35
GT7056510,24.71,88.47
GT7066012,24.66,88.34
GT7066013,24.68,88.3
GT7066014,24.56,88.16
GT7066015,24.49,88.23
GT7066016,24.59,88.27
GT7066017,24.51,88.2
GT7066018,24.51,88.27
GT7066506,24.56,88.21
GT7088020,24.84,88.19
GT7088021,24.68,88.22
GT7088022,24.64,88.18
GT7088023,24.61,88.13
GT7088024,24.7,88.12
GT7088025,24.76,88.22
GT7088029,24.76,88.12
GT7088502,24.79,88.17
GT7088503,24.8,88.22
GT7088505,24.68,88.17
GT7204001,24.81,90.87
GT7209002,24.97,90.84
GT7218003,25.08,90.7
GT7218004,25.15,90.68
GT7238010,24.74,91.14
GT7238011,24.69,91.12
GT7240007,25.14,90.86
GT7247008,24.74,90.82
GT7247009,24.65,90.88
GT7256012,24.71,90.93
GT7256013,24.67,91.04
GT7263014,24.84,91.1
GT7263015,24.85,90.99
GT7263016,24.82,91.03
GT7263017,24.81,90.96
GT7274018,24.95,90.75
GT7274019,24.86,90.77
GT7274020,24.91,90.7
GT7274021,24.83,90.71
GT7283022,24.95,90.59
GT7283023,25,90.59
GT7312001,26.06,88.82
GT7312002,26.23,88.95
GT7312003,26.13,88.91
GT7312004,26.13,89.03
GT7312005,26.12,89.04
GT7312006,26.17,88.99
GT7315007,26.26,88.81
GT7315008,26.2,88.88
GT7315009,26.22,88.84
GT7315010,26.11,88.84
GT7315011,26.04,88.82
GT7315012,26.14,88.87
GT7315013,26.09,88.87
GT7315014,26.17,88.87
GT7336015,26.01,88.95
GT7336016,26,89.06
GT7336017,26.1,88.92
GT7336018,26.08,88.97
GT7336019,26.08,88.99
GT7336020,26,89.01
GT7345021,25.87,89.1
GT7345022,25.88,89.1
GT7345023,25.85,89.02
GT7364024,25.99,88.84
GT7364025,25.97,88.85
GT7385026,25.8,88.95
GT7385027,25.78,88.91
GT7507001,22.95,91.07
GT7507002,23.03,91.06
GT7521003,22.77,91.27
GT7536004,22.17,91.09
GT7536005,22.22,91.14
GT7536006,22.37,91.11
GT7580014,23.02,91.2
GT7587007,22.76,90.97
GT7587008,22.73,91.13
GT7587009,22.82,91.18
GT7587010,22.76,91.19
GT7587011,22.82,90.98
GT7587012,22.6,91.2
GT7587013,22.85,91.14
GT7605001,24.13,89.27
GT7605002,24.11,89.33
GT7605003,24.16,89.22
GT7605500,24.1,89.4
GT7616004,24.06,89.66
GT7616005,23.83,89.65
