Monthly Temperature (°C) in 1998,,,,,,,,,,,,,,,,,,,,,,,,
Station,Max_Jan,Max_Feb,Max_Mar,Max_Apr,Max_May,Max_Jun,Max_Jul,Max_Aug,Max_Sep,Max_Oct,Max_Nov,Max_Dec,Min_Jan,Min_Feb,Min_Mar,Min_Apr,Min_May,Min_Jun,Min_Jul,Min_Aug,Min_Sep,Min_Oct,Min_Nov,Min_Dec
Srimangal,23.0,28.0,29.6,32.0,32.5,33.3,31.3,32.4,33.4,32.9,30.8,28.0,10.3,12.8,15.2,20.7,23.4,25.3,25.2,25.3,25.2,23.7,18.9,12.2
Rajshahi,21.3,27.6,30.7,34.0,34.9,35.7,32.8,32.8,32.3,32.6,29.8,26.7,10.4,13.9,16.2,22.1,24.9,27.5,26.5,26.8,26.2,25.0,20.3,14.0
Ishurdi,21.2,27.4,29.8,32.5,33.7,35.0,32.6,32.5,32.2,32.7,29.9,27.0,10.2,14.5,16.2,22.2,24.3,27.4,26.4,27.0,26.2,25.3,20.3,13.7
Bogra,21.7,28.0,29.4,32.0,33.5,34.3,32.0,32.0,32.9,33.1,31.4,28.2,11.0,15.0,17.6,22.1,24.9,27.0,26.5,26.6,26.4,25.1,20.7,14.8
Rangpur,20.7,26.9,28.5,30.9,33.2,32.6,31.3,31.3,32.1,31.5,29.6,26.5,10.3,13.1,15.8,20.9,24.6,26.1,26.3,26.3,25.7,24.0,19.3,13.9
Dinajpur,20.3,27.2,28.9,31.8,33.0,33.9,32.0,31.5,32.1,31.5,29.9,26.7,9.8,13.3,16.3,21.0,24.5,26.9,26.3,26.5,25.7,24.3,19.0,13.2
Sayedpur,20.5,27.0,28.4,31.2,33.2,33.0,31.6,31.6,32.4,31.9,30.0,26.8,10.3,13.5,16.0,20.9,24.5,26.2,26.1,26.4,25.8,24.4,19.6,13.9
Khulna,23.3,28.3,30.6,33.7,34.6,34.1,32.3,31.9,32.7,33.2,30.8,28.0,12.0,16.5,19.0,23.4,26.1,27.6,26.6,26.4,26.2,25.2,21.2,15.0
Mongla,23.3,28.2,30.4,33.7,34.3,34.1,32.4,31.7,31.9,32.3,30.0,27.3,13.7,17.7,20.4,24.0,26.4,27.8,26.7,26.5,26.1,25.8,22.3,16.6
Satkhira,23.4,28.1,30.7,34.1,35.1,34.9,32.7,32.2,32.6,33.1,30.5,27.8,12.1,16.9,18.7,23.9,25.9,27.6,26.4,26.2,25.4,24.6,20.0,13.0
Jessore,22.6,28.0,30.5,33.8,34.8,35.1,32.8,32.9,32.5,34.0,31.3,27.4,11.0,15.5,17.4,23.1,25.6,27.4,26.7,26.5,25.7,24.7,20.2,13.3
Chuadanga,21.9,27.8,30.8,34.5,34.9,36.0,33.3,33.1,32.9,33.3,30.4,27.3,10.6,15.1,16.9,23.4,24.9,27.6,26.4,26.6,26.1,25.2,20.5,13.4
Barisal,23.7,28.2,30.2,32.9,33.7,32.8,30.9,31.1,32.2,32.7,31.0,28.1,11.8,15.4,17.9,22.5,24.5,25.8,25.1,25.2,25.2,24.8,20.9,14.5
Patuakhali,23.7,27.9,30.4,32.9,33.8,33.1,31.3,31.1,32.4,32.6,30.5,27.7,13.4,16.6,19.1,23.0,25.8,27.6,26.1,26.1,26.1,25.5,22.0,16.0
Khepupara,24.4,27.5,30.4,32.5,33.3,32.8,30.7,30.7,31.7,32.3,30.5,28.0,13.6,16.8,20.0,23.8,26.3,27.8,26.3,26.0,26.1,25.4,22.1,15.7
Bhola,23.6,28.2,30.2,32.1,33.1,33.0,30.7,30.7,31.8,32.6,31.4,28.5,12.9,16.2,19.1,23.3,25.7,27.2,25.8,26.1,25.9,25.2,21.5,15.3
