,"Monthly & Yearly Average Humidity in Percent by Station, 2011-14",,,,,,,,,,,,,,
,Station name,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
,Cox's Bazar,2014,73,71,73,76,79,86,85,88,84,79,77,76,78
,Feni,2011,76,71,75,82,87,88,86,88,86,82,79,82,81
,Feni,2012,79,70,77,82,80,87,89,85,86,85,81,83,82
,Feni,2013,77,70,72,76,86,83,85,86,86,86,79,80,80
,Feni,2014,78,72,70,71,78,85,84,88,85,82,80,82,79
,Hatiya,2011,74,72,72,78,84,88,87,89,89,86,84,85,82
,Hatiya,2012,79,72,79,83,84,87,89,88,88,87,82,83,83
,Hatiya,2013,76,70,76,80,86,86,88,90,88,88,81,82,82
,Hatiya,2014,81,78,74,79,82,91,90,91,88,88,86,87,84
,Kutubdia,2011,67,70,73,79,80,86,87,87,87,82,75,77,79
,Kutubdia,2012,70,68,79,83,86,89,92,91,87,83,82,81,82
,Kutubdia,2013,81,80,81,87,87,89,89,88,88,89,77,76,84
,Kutubdia,2014,78,76,74,79,78,82,83,87,88,84,76,74,79
,M.court,2011,77,72,73,78,83,88,87,88,87,81,77,82,81
,M.court,2012,78,71,76,82,79,85,87,86,85,82,80,81,81
,M.court,2013,73,67,71,75,85,82,86,87,85,85,76,80,79
,M.court,2014,78,73,71,72,78,85,84,88,85,80,80,83,79
,Rangamati,2011,77,68,65,72,79,84,85,87,85,85,81,83,79
,Rangamati,2012,77,63,68,77,77,85,86,83,83,85,83,83,79
,Rangamati,2013,75,62,63,68,79,82,83,85,84,86,82,82,77
,Rangamati,2014,77,67,60,62,76,84,80,83,83,82,82,83,76
,Sandwip,2011,77,74,74,80,83,87,86,89,87,84,81,84,82
,Sandwip,2012,77,70,79,81,81,86,89,86,85,84,80,***,81
,Sandwip,2013,74,68,76,77,86,84,85,88,88,87,80,83,81
,Sandwip,2014,78,75,71,76,80,88,85,89,86,83,81,82,81
,Chittagong,2011,68,67,69,77,80,85,84,87,85,80,74,77,77
,Chittagong,2012,68,62,76,80,80,86,88,86,85,84,77,80,79
,Chittagong,2013,72,64,77,77,85,84,84,86,84,85,78,77,79
,Chittagong,2014,72,69,68,76,79,85,85,87,84,80,72,73,77
,Sitakunda,2011,72,67,71,79,83,87,87,88,87,84,81,81,80
,Sitakunda,2012,79,66,78,82,84,87,89,85,85,85,82,81,81
,Sitakunda,2013,75,70,76,78,86,85,85,88,87,85,78,81,81
,Sitakunda,2014,76,72,69,71,78,86,84,87,84,82,80,79,79
,,,,,,,,,,,,,,,
,Note : *** Means Missing Data,,,,,,,,,,,,,,
,Source :Bangladesh Meteorological Department (BMD),,,,,,,,,,,,,,
