,"Freshwater Quality by Station, 2018-2023",,,,,,,,,,,,,,,
,District/ Station,2018,2019,,2020,,,2021,,,2022,,,2023,,
,,Biochemical oxygen demand (BOD),Biochemical oxygen demand (BOD),,District/ Station,Biochemical oxygen demand (BOD),,District/ Station,Biochemical oxygen demand (BOD),,District/ Station,Biochemical oxygen demand (BOD),,District/ Station,Biochemical oxygen demand (BOD),
,,,,,,,,,,,,,,,,
,Meghna Ghat,3.17,4.14,,Meghna Ghat,4.14,,"Bheutha Ghat, Manikganj",5.25,,Bisnondi,5.1,,Anondo Bazar,4.48,
,N. S. P. M,4.91,8.44,,N. S. P. M,8.44,,Meghna River,,,Norsingdi Launch Terminal,6.93,,Bhairob Bazar,7.5,
,Chandpur (S),,,,Chandpur (S),,,Meghna Ghat,7.38,,Anondo Bazar,4.74,,Padma River,,
,Chandpur (M),,,,Chandpur (M),,,Bairob Ferry Ghat,6.22,,Bhairob Bazar,3.44,,Mawa Ghat,2.2,
,Chandpur,,,,Chandpur,,,Narshingdi Launch Ghat,9.87,,Padma River,,,Barha Ghat,3.53,
,Zia F. U. S,,,,Zia F. U. S,,,Shajalal Paper,20,,Mawa Ghat,5.4,,Karnaphuli River,,
,Zia F.D. S,,,,Zia F.D. S,,,Annando Bazar,4.25,,Shimulia Ghat,,,CUFL,6.75,
,Zia F.D. S,,,,Zia F.D. S,,,Bish Nondi Ghat,7.525,,Barha Ghat,6.18,,TSP,6.08,
,U.S of AFCL,,,,U.S of AFCL,,,Padma River,,,Karnaphuli River,,,Shikalbaha,4.83,
,D. S of AFCL,,,,D. S of AFCL,,,Josldia,5,,CUFL,11.35,,Kalurghat Bridge,4.42,
,AFCL,,,,AFCL,,,Sitardor,4,,TSP,8.96,,Mariam Nagar,4.42,
,Padma River,,,,Padma River,,,Kandipara,4,,Shikalbaha,4.69,,Karnaphuli Paper,4.17,
,Mawa Ghat,1.5,2.26,,Mawa Ghat,5.82,,Khoiria,4,,Kalurghat Bridge,3.83,,Halda River,,
,Shimulia Ghat,0.6,2.9,,Shimulia Ghat,12.5,,Shimolia,1,,Mariam Nagar,3.64,,Maduna Ghat,3.92,
,Pakshi Ghat (US),2.33,2.22,,Pakshi Ghat (US),2.26,,Gordhor Bazar,2,,Karnaphuli Paper,4.09,,Garduara Sluice Gate,3.83,
,Pakshi Ghat (DS),2.27,2.18,,Pakshi Ghat (DS),2.23,,Mawa ferry Ghat,11.5,,Halda River,,,Halda Bridge,3.5,
,Baro kuti Ghat (U.S),2.2,2.27,,Baro kuti Ghat (U.S),2.33,,Barha Ghat,8,,Maduna Ghat,12.99,,Beel Dakatia River,,
,Baro kuti Ghat (D.S),2.15,2.25,,Baro kuti Ghat (D.S),2.31,,Karnaphuli River,,,Garduara Sluice Gate,12.1,,Khulna (O.S),,
,Karnaphuli River,,,,Karnaphuli River,,,CUFL,75.64,,Halda Bridge,12.15,,Khulna (M.S),,
,CUFL,,,,CUFL Side Anowara,628.42,,TSP,83.27,,Beel Dakatia River,,,Bhairab River,,
,TSP,,,,"TSP Side, Patenga",457.83,,Shikalbaha,16,,Khulna (O.S),,,Basundia Bazar,7.99,
,"Karnafully River Chaktai Khal, ctg",,,,KAFCO side,504.17,,Kalurghat Bridge,5.64,,Khulna (M.S),,,"Noapara Ferry Ghat, Abhaynagar",13.5,
,Karnafully Mohona,,,,Chaktai Khal,202.08,,Mariam Nagar,5.36,,Bhairab River,,,Noapara Jafarpur,13.9,
,1km Straight from patenga sea beach,,,,15 no Ghat,155,,Karnafully Paper,11.27,,Basundia Bazar,3.5,,"Fultala Ghat, Dhulgram",12.07,
,Patenga charpara,,,,Karnafully Mohona,673,,Halda River,,,Noapara Ferry Ghat,1.8,,Gorai River,,
,1km Straight from CEPZ,,,,1km Straight from patenga sea beach,786.17,,Maduna Ghat,5.83,,Noapara,1.6,,Kamarkhali Bridge,5.39,
,Vattiyari shipyard area,,,,Patenga charpara,580.75,,Garduara Sluice gate,5.08,,Fultala Ghat,1.7,,Mathavanga River,,
,Halda River,,,,1km Straight from CEPZ,615.25,,Halda Bridge,4.92,,Gorai River,,,"Pipe Ghat, (M.P)",26.78,
,Mohona,,,,Vatiyari Shipyard Area,327.89,,Beel Dakatia River,,,Kamarkhali Bridge,,,Modhumoti River,,
,Khandakiya Khal,,,,Halda River,,,Khulna (O.S),,,Mathavanga River,,,Dhalaitala,4.57,
,Madari Khal,,,,Mohona,,,Khulna (M.S),,,Dorshona Railway Junction,,,Moyuri River,,
,Katakhali Khal,,,,Khandakiya Khal,,,Bhairab River,,,Modhumoti River,,,Shoshan Ghat,21.17,
,Krishna Khal,,,,Madari Khal (middle point),,,"Basundia Bazar, Aladipur",2.6,,Dhalaitala,,,Buro Moulavir Darga,17.39,
,Beel Dakatia River,,,,Katakhali Khal,,,Noapara Ferry Ghat Abhaynagar,2.28,,Moyuri River,,,Doshgate Jalma,23.86,
,Khulna (O.S),0.96,,,Krishna Khal,,,Noapara Jafarpur,2.78,,Shoshan Ghat,7.8,,Pashur River,,
,Khulna (M.S),0.96,,,Boraikhali,,,"Fultala Ghat, Dhulgram",4.01,,Buro Moulavir Darga,57,,Rampal Power Plant,11.5,
,Bhairab River,,,,Madarikhal (Breeding Point),,,Gorai River,,,Doshgate Jalma,36,,Banishanta,15.15,
,Noapara Ghat (S),0.88,0.84,,Noya Khal (Outside),,,Kamarkhali Bridge,2.03,,Pashur River,,,Batiaghata By Pass,8.02,
,Noapara Ghat (M),0.87,0.85,,Noya Khal,,,Mathavanga River,,,Rampal Power Plant,,,Rupsha River,,
,Noapara Ghat (O),0.87,0.85,,Beel Dakatia River,,,Dorshona Railway Junction,2.33,,Banishanta,,,Rupsa Ghat (M),26.8,
,Fultala Ghat(S),1,0.9,,Khulna (O.S),,,Modhumoti River,,,Batiaghata By Pass,,,Kalibari Ghat (M),20.44,
,Fultala Ghat (M),0.98,0.91,,Khulna (M.S),,,Dhalaitala,3.5,,Rupsha River,,,Charer Hat Sulpur Aijgati (M),10.27,
,Fultala Ghat (O),0.95,0.93,,Bhairab River,,,Moyuri River,,,Rupsa Ghat (M),7.5,,"Gilatala, Nadan Pratap (M)",6.42,
,Charerhat Ghat (S),0.85,,,Noapara Ghat (S),1.5,,Shoshan Ghat,7.8,,Kalibari Ghat (M),2.1,,Khakshiali River,,
,Charerhat Ghat (M),,,,Noapara Ghat (M),1.5,,Buro Moulavir Darga,57,,Charer Hat (M),1.3,,Kaliganj Bazar,6.01,
,Charerhat Ghat (O),0.85,,,Noapara Ghat (O),1.5,,Doshgate Jalma,36,,Gilatala,1.4,,Boshontopur,6.06,
,Gorai River,,,,Fultala Ghat(S),1.57,,Pashur River,,,Khakshiali River,,,Uzirpur,5.69,
,Kustia (S.P),1.3,1.12,,Fultala Ghat (M),1.57,,Rampal Power Plant,1.67,,Kaliganj Bazar,1.3,,Kirtonkhola River,,
,Kustia (M.P),1.35,1.08,,Fultala Ghat (O),1.57,,Banishanta,2.11,,Boshontopur,1.3,,Launch Ghat (S),,
,Kustia (O.P),1.32,1.08,,Charerhat Ghat (S),,,Batiaghata By Pass,2.6,,Gobindakathi,1.3,,Launch Ghat (M),,
,Magura (S.P),1.33,0.91,,Charerhat Ghat (M),,,Rupsha River,,,Kirtonkhola River,,,Kaower Char (S),,
,Magura (M.P),1.35,0.91,,Charerhat Ghat (O),,,"Gilatola, Nadan Pratap (M)",1.57,,Launch Ghat (S),,,Kaower Char (M),,
,Magura (O.P),1.36,0.9,,Gorai River,,,Kalibari Ghat (M),3.03,,Launch Ghat (M),,,Dopdopia Kheyaghat (S),,
,Mathavanga River,,,,Kustia (S.P),1.52,,"Charer Hat, Sulpur Aijgati (M)",1.75,,Kaower Char (S),,,Dopdopia Kheyaghat (M),,
,"Pipe Ghat,(M.P)",0.84,0.6,,Kustia (M.P),1.52,,Rupsa Ghat (M),2.57,,Kaower Char (M),,,Tatulia River,,
,"Pipe Ghat, (U.S)",0.75,0.64,,Kustia (O.P),1.52,,Khakshiali River,,,Dopdopia Kheyaghat (S),,,Vadura Launch Ghat (S),,
,"PipeGhat, (D.S)",0.98,0.57,,Magura (S.P),1.22,,Uzirpur,7.07,,Dopdopia Kheyaghat (M),,,Vadura Launch Ghat (M),,
,Modhumoti River,,,,Magura (M.P),1.2,,Kaliganj Bazar,7.7,,Tatulia River,,,Sugandha River,,
,Bagerhat (O.S),0.75,0.67,,Magura (O.P),1.22,,Boshontopur,6,,Vadura Launch Ghat (S),,,Gabkhan Lounch Terminal (S),,
,Bagerhat (M.S),0.7,0.71,,Mathavanga River,,,Kirtonkhola River,,,Vadura Launch Ghat (M),,,Gabkhan Lounch Terminal (M),,
,Bagerhat (O.S),0.7,0.63,,Pipe Ghat (M.P),0.7,,Launch Ghat (S),,,Sugandha River,,,Lohalia River,,
,Moyuri River,,,,Pipe Ghat (U.S),0.44,,Launch Ghat (M),,,Gabkhan Lounch Terminal (S),,,Patuakhali Launch Ghat (S),,
,Gallamari Bridge (S),,,,Pipe Ghat (D.S),0.56,,Kaower Char (S),,,Gabkhan Lounch Terminal (M),,,Patuakhali Launch Ghat (M),,
,Gallamari Bridge (M),,,,Modhumoti River,,,Kaower Char (M),,,Lohalia River,,,Korotoa River,,
,Gallamari Bridge (O),,,,Bagerhat (O.S),1.56,,Dopdopia Kheyaghat (S),,,Patuakhali Launch Ghat (S),,,Dutta Bari Bridge (Up),3.99,
,Pashur River,,,,Bagerhat (M.S),1.58,,Dopdopia Kheyaghat (M),,,Patuakhali Launch Ghat (M),,,Dutta Bari Bridge (Down),3.99,
,Mongla Poart (S.P),1.02,0.91,,Bagerhat (O.S),1.54,,Tatulia River,,,Korotoa River,,,Aziz Ahmed Taki Road (Up),3.99,
,Mongla Poart (M.P),1.01,0.95,,Moyuri River,,,Vadura Launch Ghat (S),,,"Dutta Bari Bridge, Bogura (Upstream)",3.03,,Aziz Ahmed Taki Road (Down),3.99,
,Mongla Poart (O.P),1,0.93,,Gallamari Bridge (S),,,Vadura Launch Ghat (M),,,"Dutta Bari Bridge, Bogura (Downstream)",3.03,,Teesta River,,
,Rupsha River,,,,Gallamari Bridge (M),,,Sugandha River,,,Aziz Ahmed Taki Road (Upstream),3.07,,Sardah (Up),2.37,
,Rupsha Ghat (S),0.96,1.15,,Gallamari Bridge (O),,,Jhalkathi L.G (S),,,Aziz Ahmed Taki Road (Downstream),3.07,,Sardah (Down),2.37,
,Rupsha Ghat (M),0.95,1.17,,Pashur River,,,Jhalkathi L.G (M),,,Teesta River,,,Nurullapur (Up),2.29,
,Rupsha Ghat (O),0.92,1.12,,Mongla Poart (S.P),1.52,,Lohalia River,,,"Dutta Bari Bridge, Bogura (Upstream)",3.03,,Nurullapur (Down),2.29,
,Labanchara Ghat (S),1.07,1.18,,Mongla Poart (M.P),1.52,,Patuakhali Launch Ghat (S),,,"Dutta Bari Bridge, Bogura (Downstream)",3.03,,Kanchan Park (Up),2.33,
,Labanchara Ghat (M),1.01,1.18,,Mongla Poart (O.P),1.52,,Patuakhali Launch Ghat (M),,,Aziz Ahmed Taki Road (Upstream),3.07,,Kanchan Park (Down),2.33,
,Labanchara Ghat (O),1.01,1.15,,Rupsha River,,,Korotoa River,,,Aziz Ahmed Taki Road (Downstream),3.07,,Surma River,,
,Khakshiali River,,,,Rupsha Ghat (S),1.3,,Dottobari Bridge (UP),4.89,,Surma River,,,Mendibag Point,2.45,
,Kaliganj (S.P),0.97,1.09,,Rupsha Ghat (M),1.32,,Dottobari Bridge (Down),4.89,,Mendibag Point,2.1,,Kin Bridge Point,3.25,
,Kaliganj (M.P),0.97,1.07,,Rupsha Ghat (O),1.28,,Aziz Ahmed Taki Road (UP),4.77,,Kin Bridge Point,2.3,,Sheaik Ghat,3.4,
,Kaliganj (O.P),0.97,1.1,,Labanchara Ghat (S),1.47,,Aziz Ahmed Taki Road (Down),4.77,,Sheaik Ghat,2.8,,Chhatak,3,
,Kirtonkhola River,,,,Labanchara Ghat (M),1.47,,Sultanganj- Gabtoli (UP),4.85,,Chhatak,2.5,,Kushiara River,,
,Launch Ghat (S),2.14,1.99,,Labanchara Ghat (O),1.45,,Sultanganj- Gabtoli (DN),4.85,,Kushiara River,,,Fenchuganj Bridge Point,2.8,
,Launch Ghat (M),2.1,2,,Khakshiali River,,,Teesta River,,,Fenchuganj Bridge Point,2.3,,Fenchuganj Fertilizer Industry Point,20.5,
,Dopdopia Kheyaghat (S),2.12,2.09,,Kaliganj (S.P),1.24,,Teesta Bridge (Up),2.25,,Fenchuganj Fertilizer Industry Point,2.6,,Note: 'Blank' Means Data Not Available,,
,Dopdopia Kheyaghat (M),2.16,2.07,,Kaliganj (M.P),1.22,,Teesta Bridge (Dn),2.25,,Note: 'Blank' Means Data Not Available,,,Source: Department of Environment (DoE),,
,Beltola Fery Gaht (S),2,2.04,,Kaliganj (O.P),1.24,,Nohali Sapmari (Up),2.22,,Source: Department of Environment (DoE),,,,,
,Beltola Fery Gaht (M),2.15,2.04,,Kirtonkhola River,,,Nohali Sapmari (Dn),2.22,,,,,,,
,Tatulia River,,,,Launch Ghat (S),2.56,,Teesta Barrage (Up),2.27,,,,,,,
,Vadura Launch Ghat (S),1.95,1.98,,Launch Ghat (M),2.58,,Teesta Barrage (Dn),2.27,,,,,,,
,Vadura Launch Ghat (M),2.22,2.03,,Dopdopia Kheyaghat (S),2.43,,Surma River,,,,,,,,
,Sugandha River,,,,Dopdopia Kheyaghat (M),2.41,,Mendibag Point,2.66,,,,,,,
,Jhalkathi L.G (S),2.1,2.01,,Beltola Fery Gaht (S),2.48,,Kin Bridge Point,1.7,,,,,,,
,Jhalkathi L.G (M),2.25,2.09,,Beltola Fery Gaht (M),2.55,,Sheaik Ghat,2.8,,,,,,,
,Lohalia River,,,,Tatulia River,,,Chhatak,2.71,,,,,,,
,Patuakhali Launch Ghat (S),2.01,1.95,,Vadura Launch Ghat (S),2.87,,Kushiara River,,,,,,,,
,Patuakhali Launch Ghat (M),2.2,2.05,,Vadura Launch Ghat (M),3.03,,Fcnchuganj Bridge Point,2.94,,,,,,,
,Korotoa River,,,,Sugandha River,,,Note: 'Blank' Means Data Not Available,,,,,,,,
,"Near Dutta Bari Bridge, Bogra (Up stream)",4.25,5.06,,Jhalkathi L.G (S),2.1,,Source: Department of Environment (DoE),,,,,,,,
,"Near Dutta Bari Bridge, Bogra (Down stream)",4.2,5.08,,Jhalkathi L.G (M),1.95,,,,,,,,,,
,"Near Foteh Ali Bridge, Bogra (Up stream)",4.15,4.98,,Lohalia River,,,,,,,,,,,
,"Near Foteh Ali Bridge, Bogra (Down stream)",4.13,5.01,,Patuakhali Launch Ghat (S),2.6,,,,,,,,,,
,"Near Matidali Bridge, Bogra (Up stream)",4.04,4.62,,Patuakhali Launch Ghat (M),2.4,,,,,,,,,,
,"Near Matidali Bridge, Bogra (Down stream)",4.01,4.58,,Korotoa River,,,,,,,,,,,
,"Near S.P Bridge, Bogra (Up stream)",4.34,5.03,,"Near Dutta Bari Bridge, Bogura (Upstream)",5.36,,,,,,,,,,
,"Near S.P Bridge, Bogra (Down stream)",4.35,5.03,,"Near Dutta Bari Bridge, Bogura (Downstream)",5.36,,,,,,,,,,
,"Shahjadpur, Sirajgonj (Up stream)",2.21,2.64,,"Near Foteh Ali Bridge, Bogura (Upstream)",5.27,,,,,,,,,,
,"Shahjadpur, Sirajgonj (Down stream)",2.2,2.66,,"Near Foteh Ali Bridge, Bogura (Downstream)",5.27,,,,,,,,,,
,Teesta River,,,,"Near Matidali Bridge, Bogura (Upstream)",4.93,,,,,,,,,,
,Near Tista Bridge (U.S),2.25,2.2,,"Near Matidali Bridge, Bogura (Downstream)",4.93,,,,,,,,,,
,Near Tista Bridge (D.S),2.18,2.18,,"Near S.P Bridge, Bogura (Upstream)",5.52,,,,,,,,,,
,Surma River,,,,"Near S.P Bridge, Bogura (Downstream)",5.52,,,,,,,,,,
,Mendibag Point,2.05,2.96,,"Shahjadpur, Sirajganj (Upstream)",2.26,,,,,,,,,,
,Kin Bridge Point,2.04,3.16,,"Shahjadpur, Sirajganj (Downstream)",2.28,,,,,,,,,,
,Sheaik Ghat,2.02,3.24,,Teesta River,,,,,,,,,,,
,Chhatak,2.2,2.1,,Near Tista Bridge (U.S),2.26,,,,,,,,,,
,Kazir Bazar,,3.23,,Near Tista Bridge (D.S),2.24,,,,,,,,,,
,Kushiara River,,,,Surma River,,,,,,,,,,,
,Kushiyara Point,,2.8,,Mendibag Point,2.02,,,,,,,,,,
,BDR Camp,,,,Kin Bridge Point,2.28,,,,,,,,,,
