Stations,Year,Month,Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Ambagan(Ctg),2011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Ambagan(Ctg),2011,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,11,4
Ambagan(Ctg),2011,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,0,0,0,1,0,26,5,13,1,
Ambagan(Ctg),2011,5,0,1,0,3,5,60,0,0,0,0,6,18,0,10,0,0,0,34,45,16,1,80,21,5,0,41,0,0,1,0,8
Ambagan(Ctg),2011,6,34,0,0,0,0,0,0,13,14,29,8,0,0,0,8,6,28,55,36,0,4,10,0,0,26,7,40,16,53,67,
Ambagan(Ctg),2011,7,119,105,46,0,23,10,3,0,2,0,0,17,0,0,4,1,15,1,13,76,12,87,54,9,3,3,1,0,5,4,0
Ambagan(Ctg),2011,8,27,40,36,23,105,101,29,16,85,103,41,1,4,1,0,0,27,12,7,0,1,20,15,0,13,0,17,0,0,23,1
Ambagan(Ctg),2011,9,0,1,64,0,0,0,54,177,60,7,0,11,0,3,15,63,118,30,0,1,15,2,0,2,0,0,0,0,2,115,
Ambagan(Ctg),2011,10,11,1,3,0,3,2,0,0,2,0,0,0,0,0,0,0,0,19,0,2,0,20,3,0,0,0,0,0,0,0,0
Ambagan(Ctg),2011,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ambagan(Ctg),2011,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambagan(Ctg),2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambagan(Ctg),2012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ambagan(Ctg),2012,3,12,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambagan(Ctg),2012,4,0,0,0,0,0,0,2,26,74,8,41,0,6,16,0,0,0,0,0,0,0,21,0,5,0,2,0,1,14,15,
Ambagan(Ctg),2012,5,22,32,2,0,0,0,0,0,0,0,0,0,0,13,0,1,21,0,0,0,0,0,0,0,2,0,0,19,0,2,0
Ambagan(Ctg),2012,6,87,32,1,0,50,6,59,0,0,0,0,0,0,0,1,115,66,0,0,22,9,16,48,173,136,9,438,0,0,0,
Ambagan(Ctg),2012,7,2,0,0,11,1,0,0,3,1,0,6,18,79,10,163,44,32,65,41,0,0,14,18,40,22,0,19,9,34,23,7
Ambagan(Ctg),2012,8,6,6,1,4,2,1,7,45,0,0,5,39,42,3,2,0,0,0,0,28,34,10,15,12,0,1,1,0,36,0,0
Ambagan(Ctg),2012,9,0,0,30,0,10,0,0,0,3,0,0,27,5,1,0,9,0,0,0,0,0,0,22,89,11,3,0,0,10,1,
Ambagan(Ctg),2012,10,0,0,13,13,165,102,0,3,3,2,78,40,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambagan(Ctg),2012,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ambagan(Ctg),2012,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
