,"Monthly Frequency of Thunderstorm by Station, 2015-2024",,,,,,,,,,,,,
,Station,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Srimangal,2018,2,1,22,70,101,80,24,39,56,11,1,0
,Srimangal,2019,0,23,38,46,81,68,33,41,48,31,1,0
,Srimangal,2020,0,23,38,46,80,68,33,41,48,31,0,0
,Srimangal,2021,4,0,2,83,77,99,38,40,46,33,3,0
,Srimangal,2022,0,3,20,12,65,38,44,44,65,32,0,0
,Srimangal,2023,5,2,0,29,64,61,58,60,50,39,0,2
,Srimangal,2024,0,3,35,29,33,51,43,9,30,11,0,0
,Sylhet,2015,0,9,30,17,62,99,**,**,**,**,**,**
,Sylhet,2016,0,10,42,185,89,70,31,73,70,20,4,0
,Sylhet,2017,0,14,64,130,112,111,27,82,82,45,0,0
,Sylhet,2018,0,8,35,80,93,64,36,46,47,1,2,1
,Sylhet,2019,0,11,24,76,100,69,32,28,34,5,0,0
,Sylhet,2020,0,11,24,76,99,66,32,27,34,5,0,0
,Sylhet,2021,2,3,7,44,73,77,67,37,60,23,0,0
,Sylhet,2022,0,0,27,49,75,69,40,54,53,49,0,0
,Sylhet,2023,5,13,5,53,110,127,92,40,72,61,0,0
,Sylhet,2024,0,6,51,54,66,97,57,28,84,39,0,0
,Bogra,2015,0,6,15,57,71,104,**,**,**,**,**,**
,Bogra,2016,0,0,11,3,48,15,5,25,54,14,0,0
,Bogra,2017,0,0,16,38,36,30,16,31,49,18,0,0
,Bogra,2018,0,8,6,34,34,34,22,14,17,0,0,0
,Bogra,2019,0,1,13,22,37,43,58,16,12,32,0,0
,Bogra,2020,0,1,13,22,37,43,57,16,12,32,0,0
,Bogra,2021,0,2,7,34,39,18,23,18,46,12,0,0
,Bogra,2022,0,0,3,12,55,48,20,43,24,10,0,0
,Bogra,2023,4,5,0,18,37,31,17,5,43,6,0,0
,Bogra,2024,0,0,12,15,31,22,11,15,36,8,0,0
,Dinajpur,2015,0,8,2,0,28,29,**,**,**,**,**,**
,Dinajpur,2016,0,1,12,4,51,21,9,16,48,8,0,3
,Dinajpur,2017,5,0,17,40,56,35,38,24,26,12,0,0
,Dinajpur,2018,0,0,7,48,45,30,12,19,9,0,0,0
,Dinajpur,2019,0,8,2,22,14,34,21,15,40,5,0,0
,Dinajpur,2020,0,8,2,22,14,34,21,15,40,5,0,0
,Dinajpur,2021,0,0,6,17,30,32,59,6,64,11,0,0
,Dinajpur,2022,0,0,0,10,33,20,13,22,15,10,0,0
,Dinajpur,2023,4,7,0,8,28,45,22,24,7,2,0,0
,Dinajpur,2024,0,0,6,4,10,12,14,5,15,5,0,0
,Ishurdi,2015,**,**,**,**,**,**,**,**,**,**,**,**
,Ishurdi,2016,0,2,18,13,30,23,5,12,27,7,0,0
,Ishurdi,2017,0,0,14,38,41,28,6,5,32,6,0,0
,Ishurdi,2018,0,0,11,56,26,30,17,6,15,0,0,0
,Ishurdi,2019,0,10,9,24,23,24,27,7,10,15,0,0
,Ishurdi,2020,0,10,9,24,23,24,26,7,10,15,0,0
,Ishurdi,2021,0,0,10,26,31,26,16,9,26,10,0,0
,Ishurdi,2022,0,0,1,12,42,16,16,24,22,22,0,0
,Ishurdi,2023,1,7,0,5,26,19,6,19,22,9,0,0
,Ishurdi,2024,0,0,10,14,22,17,8,5,17,9,0,0
,Rajshahi,2015,0,5,7,0,6,18,5,**,**,**,**,**
,Rajshahi,2016,2,3,13,19,49,24,41,24,64,14,0,0
,Rajshahi,2017,0,0,31,35,47,33,30,41,72,21,0,0
,Rajshahi,2018,0,5,5,50,37,32,51,17,39,0,0,0
,Rajshahi,2019,0,9,17,31,37,34,59,19,32,20,0,0
,Rajshahi,2020,0,9,17,31,37,34,59,19,31,20,0,0
,Rajshahi,2021,0,4,7,23,37,52,55,17,52,22,0,0
,Rajshahi,2022,0,0,1,16,36,29,27,63,26,12,0,0
,Rajshahi,2023,0,8,0,6,29,26,14,29,38,15,0,0
,Rajshahi,2024,0,0,12,19,18,20,10,15,17,10,0,0
,Rangpur,2015,0,2,11,1,16,12,**,**,**,**,**,**
,Rangpur,2016,3,1,21,10,72,50,21,27,60,11,0,0
,Rangpur,2017,4,0,24,45,61,38,17,20,39,14,0,0
,Rangpur,2018,0,0,10,59,60,62,21,10,21,3,0,0
,Rangpur,2019,0,10,4,43,63,64,50,28,34,24,0,0
,Rangpur,2020,0,10,4,41,63,64,50,28,34,24,0,0
,Rangpur,2021,0,0,6,42,62,48,77,12,77,14,0,0
,Rangpur,2022,0,0,5,22,65,51,20,37,43,21,0,0
,Rangpur,2023,4,16,0,51,42,79,21,35,29,24,0,0
,Rangpur,2024,0,0,1,7,29,45,15,11,20,7,0,0
,Sydpur,2015,0,0,18,0,21,70,**,**,**,**,**,**
,Sydpur,2016,0,1,20,3,73,29,28,22,71,5,0,2
,Sydpur,2017,1,0,17,42,60,33,23,35,31,16,0,0
,Sydpur,2018,0,0,10,55,55,44,25,37,27,3,0,0
,Sydpur,2019,0,13,4,30,44,52,36,23,32,14,0,0
,Sydpur,2020,0,13,3,30,44,52,36,23,32,14,0,0
,Sydpur,2021,0,0,7,32,42,63,84,17,84,19,0,0
,Sydpur,2022,0,0,0,15,59,30,26,28,20,9,0,0
,Sydpur,2023,0,13,0,33,44,47,35,36,21,9,0,0
,Sydpur,2024,0,0,4,8,10,23,15,9,32,9,0,0
,Chuadanga,2015,0,0,7,0,30,61,**,**,**,**,**,**
