Monthly Temperature (°C) in 1999,,,,,,,,,,,,,,,,,,,,,,,,
Station,Max_Jan,Max_Feb,Max_Mar,Max_Apr,Max_May,Max_Jun,Max_Jul,Max_Aug,Max_Sep,Max_Oct,Max_Nov,Max_Dec,Min_Jan,Min_Feb,Min_Mar,Min_Apr,Min_May,Min_Jun,Min_Jul,Min_Aug,Min_Sep,Min_Oct,Min_Nov,Min_Dec
Cox's_Bazar,28.5,32.1,33.3,34.8,32.8,31.7,31.2,30.5,31.6,32.5,31.6,28.7,16.1,19.1,21.9,25.3,25.1,25.6,25.3,25.0,24.9,24.7,20.6,17.5
Kutubdia,26.2,28.8,30.9,33.0,31.5,30.8,30.1,29.5,30.6,31.1,30.2,27.6,15.6,18.4,21.4,25.7,25.7,25.9,25.7,25.4,25.3,24.9,20.7,17.8
Teknaf,28.5,31.6,31.8,33.1,31.7,30.8,30.3,29.6,30.7,31.5,30.6,28.6,15.3,17.8,20.9,25.4,25.4,25.9,25.5,25.4,25.1,25.0,20.6,17.9
Sylhet,27.4,31.9,33.2,33.2,31.3,32.1,32.0,32.0,32.0,31.2,30.3,27.7,13.6,16.5,19.2,23.2,23.3,25.2,25.4,25.4,25.0,23.9,19.3,15.4
Srimangal,27.1,30.8,33.8,35.9,32.2,32.2,32.3,32.3,32.3,31.9,30.7,28.1,9.8,12.5,17.6,23.9,23.3,24.9,25.1,25.1,24.4,23.2,16.9,11.9
Rajshahi,24.9,30.0,35.2,37.8,34.6,34.3,32.2,32.1,31.3,31.6,29.7,26.6,11.2,14.1,17.8,25.7,24.9,26.3,25.9,26.0,25.6,24.3,18.2,14.1
Ishurdi,25.2,29.9,34.8,37.1,34.1,33.4,31.8,31.8,31.4,31.6,29.8,27.0,10.9,14.6,18.6,25.8,24.8,26.2,25.9,26.1,25.6,24.2,18.5,13.6
Bogra,25.5,29.7,32.7,34.6,32.2,33.0,31.8,31.9,31.3,31.9,30.9,27.8,11.9,15.8,19.3,25.1,24.4,26.5,26.3,26.3,25.7,24.4,19.1,14.6
Rangpur,24.5,29.0,32.1,32.3,31.2,32.3,31.5,30.8,31.2,30.6,29.5,26.3,11.2,15.0,17.2,23.0,23.9,26.0,26.2,25.7,25.2,23.5,18.2,14.1
Dinajpur,23.9,29.3,32.9,33.6,31.9,33.1,31.8,31.2,31.0,30.9,29.6,26.5,10.5,14.9,17.8,23.4,23.8,26.2,26.2,25.8,25.2,23.4,17.6,13.3
Sayedpur,24.5,29.7,32.9,33.1,31.7,32.8,31.8,31.3,31.5,31.2,30.1,26.7,11.0,15.4,17.5,23.2,23.7,25.9,25.9,25.8,25.3,23.5,17.9,13.8
Khulna,26.5,30.4,34.8,35.5,34.0,32.9,31.7,32.1,32.0,31.8,30.8,28.4,12.5,15.8,21.1,25.9,25.4,26.0,25.8,26.1,25.8,24.6,19.2,14.6
Mongla,26.2,30.4,34.4,35.9,33.8,32.4,31.6,31.2,30.8,30.8,29.7,27.4,14.1,17.9,22.6,26.2,25.8,26.4,26.0,26.1,25.8,24.9,20.3,16.5
Satkhira,26.1,30.5,34.5,36.2,34.3,33.3,32.0,31.8,31.3,31.7,30.3,27.9,11.1,15.3,20.4,25.0,24.5,25.2,24.5,24.6,24.2,22.9,16.6,12.3
Jessore,26.3,31.0,35.2,37.1,35.5,34.0,32.5,32.8,32.3,32.4,30.8,28.0,11.2,15.2,19.9,25.1,25.5,26.1,25.8,25.9,25.5,24.2,17.8,13.7
Chuadanga,25.2,30.3,35.2,37.3,35.2,34.0,32.6,32.6,31.7,32.0,30.5,27.4,10.9,14.8,19.2,25.5,25.6,25.9,26.1,26.0,25.6,24.6,18.2,13.7
Barisal,26.5,30.3,34.2,35.1,32.9,32.2,30.9,30.8,31.1,31.6,30.7,27.9,12.1,15.1,20.5,24.9,25.0,25.4,25.1,25.4,25.2,24.1,18.8,13.9
Patuakhali,26.2,30.5,34.0,35.1,32.4,31.4,30.5,30.7,30.9,31.6,30.0,27.4,13.6,16.9,21.6,25.1,25.5,25.9,25.8,25.8,25.6,24.8,19.8,15.6
Khepupara,26.4,30.8,33.3,33.8,32.1,31.3,30.6,30.6,30.3,31.0,29.9,27.7,13.4,16.9,22.1,26.0,25.6,26.1,25.9,25.6,25.3,24.6,19.7,15.9
Bhola,26.8,30.5,33.4,33.8,31.6,31.2,30.3,30.2,30.5,30.9,30.4,27.7,12.6,16.1,21.5,25.5,25.3,25.9,25.5,25.6,25.4,24.6,19.3,14.9
