,2022,3,310,2,90,2.5,90,3.5,130,6,230,5,320,4,90,6,90,3.5,130,4,50,2,360,2,50
,2023,3.5,310,4.5,270,3,230,13.5,20,5,180,4,90,4,50,4,90,3.5,90,3.5,90,3.5,50,2.5,310
,2024,3,270,4,270,4,230,4.5,270,7,50,3.5,140,**,**,**,**,**,**,**,**,**,**,**,**
,Station :Bogra,,,,,,Lat.24Deg.51Mts.N,,,,,,Long.89Deg.22Mts.E,,,,,,,,,,,,
,2017,4,310,8,230,10,310,8,90,6,360,6,90,6,90,10,130,4,130,7,360,4,270,6,270
,2018,5,270,5,90,7,90,7,230,9,90,9,40,6,90,4,90,8,90,5,90,4,50,6,360
,2019,2,360,4,270,3.5,310,3,50,5,360,3,180,3,90,4,90,4,130,2,360,2,360,2.5,270
,2020,2.5,310,2,270,3,270,4,310,7.5,270,2,180,3,90,3.5,90,3,230,2,50,2,360,2,310
,2021,2,270,2.5,310,3,90,4.5,230,3,130,4,130,5,50,3,130,3,130,4.5,20,3,270,3,310
,2022,2.5,270,2.5,270,3.5,30,3,30,4,270,3,130,3,180,5,130,11.5,20,4,360,15.5,20,2,310
,2023,2,270,3,270,2.5,20,2.5,180,4,360,3,90,3,90,3,90,4,90,3.5,90,2,50,2,310
,2024,2,270,2.5,270,4,130,2,130,5,90,3,180,**,**,**,**,**,**,**,**,**,**,**,**
,Station :Mymensingh,,,,,,Lat.24Deg.43Mts.N,,,,,,Long.90Deg.26Mts.E,,,,,,,,,,,,
,2017,5,310,8,180,8,50,12,130,10,300,10,190,12,110,8,270,8,130,12,90,4,40,8,360
,2018,8,300,8,180,15,160,12,90,12,90,16,320,10,120,8,140,10,90,8,130,9,10,17,10
,2019,4,340,4,130,7.5,140,7,330,9,180,5,90,6,360,5,150,4.5,110,4,270,15,10,5,270
,2020,4,310,5,130,11,270,8,310,6,360,6,180,4,180,6,100,6,140,3.5,90,2,30,2,230
,2021,3,310,4,280,6,90,6,50,9,20,6,130,6,310,5,180,7,330,6,140,2,310,3,90
,2022,3,310,3,340,7,90,7,30,20,180,5,230,3,130,6,130,2,130,7,60,0,0,0,0
,2023,0.5,270,0,0,6.5,10,3,230,5,180,6,160,8.5,20,3,110,5,130,2,90,4,90,2,50
,2024,2,270,2,290,5,270,5,90,9,90,5,140,3,130,**,**,**,**,**,**,**,**,**,**
,Station :Sylhet,,,,,,Lat.24Deg.54Mts.N,,,,,,Long.91Deg.53Mts.E,,,,,,,,,,,,
,2017,9,90,16,210,12,300,20,280,22,310,18,180,9,360,10,290,12,270,19,90,8,90,8,250
,2018,10,210,9,250,18,360,18,310,18,240,14,210,16,180,11,180,18,190,12,90,8,90,8,90
,2019,8,90,8,270,18,270,25,270,16,250,17,270,10,270,10,270,6,360,7,90,15,30,9,290
,2020,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
,2021,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
,2022,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
,2023,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
,2024,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
,Station :Srimangal,,,,,,Lat.24Deg.18Mts.N,,,,,,Long.91Deg.44Mts.E,,,,,,,,,,,,
,2017,5,290,10,180,11,180,15,310,20,340,8,90,7,150,6,100,5,180,13,180,4,310,6,340
,2018,9,300,8,130,8,180,12,100,26,300,8,60,8,180,12,180,10,160,10,100,8,280,6,40
,2019,4,250,6,300,4.5,200,8,100,6,220,3,290,3,120,3,150,3,150,2,340,1.5,50,2.5,300
,2020,3,320,3.5,270,4.5,300,5,300,4.5,180,2.5,150,3,180,4,130,2.5,310,3,90,1.5,280,2,300
,2021,2.5,310,4,300,4,340,4,310,6,270,3,50,3,230,6,130,2,130,2,30,1.5,300,2,310
,2022,2,270,3,270,4,180,6,180,11,150,6,360,2,180,2,130,2,180,2.5,40,1.5,270,1.5,310
,2023,2,300,3,300,4,230,2,160,5,60,5,300,2,130,2,130,2,180,1.5,130,2.5,260,1.5,310
,2024,2,290,7.5,280,12.5,270,7.5,280,10,130,6,300,**,**,**,**,**,**,**,**,**,**,**,**
,Station :Ishurdi,,,,,,Lat.24Deg. 8Mts.N,,,,,,Long.89Deg. 3Mts.E,,,,,,,,,,,,
,2017,6,360,6,270,6,180,6,360,5,180,6,360,8,130,6,130,5,270,10,50,6,360,6,310
,2018,5,310,5,310,6,270,8,180,18,20,8,310,8,310,9,180,8,130,5,180,4,310,7,360
,2019,3,310,3,310,5,310,4,180,5,310,3,310,4.5,90,9,10,3,130,3,50,4,310,3,360
,2020,2.5,360,3,310,4,310,3,90,6,130,4,230,2.5,130,4,130,4.5,90,3,360,3,360,15.5,20
,2021,2.5,360,3,310,4,310,4.5,270,4,130,3,180,9,20,2,230,2.5,130,2.5,180,3,360,15.5,30
,2022,2.5,310,3,310,3.5,180,4,180,4,130,9,20,4,130,5,180,3,270,4.5,360,2.5,360,3,360
,2023,3,310,3,310,3,270,3,180,4,230,4,90,2,130,4,130,5,130,2,130,3,310,4,360
,2024,2.5,230,2.5,310,4,360,13.5,30,6,50,3,130,9,20,**,**,**,**,**,**,**,**,**,**
,Station :Dhaka,,,,,,Lat.23Deg.46Mts.N,,,,,,Long.90Deg.23Mts.E,,,,,,,,,,,,
,2017,5,270,4,180,6,170,20,320,14,360,8,270,5,180,8,270,8,270,8,270,5,360,4,50
,2018,5,330,14,360,6,80,15,330,9,90,8,270,8,180,6,90,12,90,7,130,5,100,8,50
,2019,2.5,310,4,10,5,300,5,180,9,330,6,50,5,90,4,150,3,50,5,360,4.5,50,2.5,320
,2020,3.5,50,2.5,30,4,350,4.5,360,7.5,50,10,60,5,180,3.5,170,4,50,2.5,130,3,270,2,270
,2021,2.5,330,2.5,220,3,200,4.5,30,3.5,60,4,310,4.5,90,3.5,250,2.5,60,3,60,2,220,2.5,330
,2022,4,300,3,270,5,180,4,120,3,330,36,0,3,330,4.5,80,2.5,230,6,30,2.5,40,2,220
,2023,3,20,2.5,270,3,270,4,240,4,20,3,270,2.5,80,2.5,90,2.5,40,3,160,4.5,60,2,330
,2024,2,340,3.5,40,3,340,3,180,7,60,4.5,70,10,120,0,**,**,**,**,**,**,**,**,**
,Station :Comilla,,,,,,Lat.23Deg.26Mts.N,,,,,,Long.91Deg.11Mts.E,,,,,,,,,,,,
,2017,9,310,9,160,9,160,16,180,13,180,11,180,12,180,13,180,5,210,11,210,5,340,5,50
,2018,6,360,14,310,8,360,16,180,12,180,12,180,13,180,9,180,12,180,8,90,5,50,5,320
,2019,3,310,6,360,4,310,7.5,50,8.5,210,4.5,180,6,180,4.5,210,3,130,4,50,4,90,2.5,360
,2020,2,310,2,280,8,300,6,90,9,180,5,180,5.5,180,6,180,3.5,180,2.5,130,,,,
,2021,2,50,2.5,330,6,180,6,310,4,190,5,190,4,130,3,160,2.5,120,2.5,210,2,360,3,70
,2022,2,360,4.5,300,4,200,5.5,180,6,310,6,310,2.5,130,3.5,120,4,150,9,70,2,30,2,280
,2023,2,290,3,270,3,180,5.5,90,3.5,190,6,180,5,180,3.5,210,5,130,2.5,180,4,80,1.5,300
,2024,16.5,20,4,70,3.5,350,6.5,180,7.5,180,**,**,**,**,**,**,**,**,**,**,**,**,**,**
,Station :Chandpur,,,,,,Lat.23Deg.16Mts.N,,,,,,Long.90Deg.42Mts.E,,,,,,,,,,,,
,2017,5,360,8,130,8,180,10,180,15,360,7,230,6,180,5,180,4,180,50,180,6,360,6,360
,2018,5,310,4,310,14,140,14,180,10,180,9,360,6,180,6,180,8,180,6,180,5,360,8,180
,2019,18,0,3,360,4,130,4,180,7,180,3,180,3.5,180,3,180,2.5,180,2,360,5,140,18,360
,2020,10,360,2,360,18,360,3,360,10,360,16,180,2.5,180,3,180,2.5,180,3,180,2,180,2,360
,2021,2,360,3,270,3,310,6.5,180,3,360,2,180,1.5,180,1.5,180,2,180,1.5,180,1.5,360,2,360
,2022,3,310,3,360,3,180,3,180,3,180,3,180,3,180,3.5,180,2.5,180,6,120,2.5,360,2,360
,2023,2.5,310,2.5,310,4,310,6,360,3.5,360,19.5,0,4,180,3,80,3,180,3,180,6,310,3,310
,2024,3,360,6,360,4,360,7.5,180,7,180,4,180,3,180,**,**,**,**,**,**,**,**,**,**
,Station :Jessore,,,,,,Lat.23Deg.11Mts.N,,,,,,Long.89Deg.10Mts.E,,,,,,,,,,,,
,2017,14,350,12,210,18,240,38,90,30,300,18,90,12,200,18,160,18,160,20,240,9,40,6,350
,2018,9,350,6,290,12,140,27,290,18,210,12,180,18,200,16,110,18,120,18,140,8,140,12,10
,2019,6,360,9,330,9,350,14,360,13,240,7.5,230,8.5,40,9,80,8.5,190,9,180,13,20,4.5,350
,2020,4.5,330,4.5,300,9,330,9,220,37.5,180,11,220,6,190,9,130,8,230,8,210,4,20,5,350
,2021,3,300,8,270,9,270,8,190,12,90,10,10,11.5,70,6,210,9,180,8.5,170,4,360,6,360
,2022,5,360,8,350,8,230,8,240,9,230,8.5,240,9,130,10,120,6,170,10,30,3,360,3,330
,2023,4.5,360,8,350,25,70,8,280,11,200,31.5,220,6,150,10,110,7,140,14,30,7,40,3,330
,2024,5,330,6.5,80,6,290,11.5,60,17.5,340,11,190,8.5,230,**,**,**,**,**,**,**,**,**,**
,Station :Faridpur,,,,,,Lat.23Deg.36Mts.N,,,,,,Long.89Deg.51Mts.E,,,,,,,,,,,,
,2017,3,310,4,180,10,230,15,360,8,270,8,360,6,180,4,130,5,180,12,130,2,350,3,90
,2018,4,320,2,340,17,330,10,230,7,360,10,300,9,130,21,0,8,90,7,50,3,360,4,350
,2019,2,330,4,90,5,90,11,180,6,230,2.5,90,3.5,90,5,150,4,130,2,90,7.5,90,2,130
,2020,2.5,90,2,360,3.5,270,3.5,270,17.5,130,4,50,2.5,230,6,90,2,130,3.5,90,2,320,2.5,360
,2021,2.5,320,2,340,2.5,270,11.5,230,10,310,4,130,7.5,110,2,180,3.5,130,4,130,2,310,3,340
,2022,2.5,290,16,90,4,180,4.5,190,7.5,310,2.5,220,3.5,90,8.5,90,3,130,13.5,310,2,320,2.5,360
,2023,3,320,4,360,4,180,3.5,130,6,270,6,190,3.5,130,5,130,3.5,130,5.5,130,5,60,2.5,290
,2024,2.5,330,3.5,200,2.5,230,3,180,8.5,200,3,130,**,**,**,**,**,**,**,**,**,**,**,**
,Station :Madaripur,,,,,,Lat.23Deg.10Mts.N,,,,,,Long.90Deg.11Mts.E,,,,,,,,,,,,
,2017,3,360,4,210,4,180,6,240,4,180,5,310,4,180,4,180,3,180,3,180,2,360,2,360
,2018,3,360,4,350,10,330,5,230,3,180,3,180,3,130,3,130,5,130,2,130,2,360,2,360
,2019,1.5,360,1.5,360,4.5,0,4.5,90,4.5,180,1,180,2.5,130,6.5,20,1.5,130,0,0,4,40,0,0
,2020,1,50,1,30,1.5,90,2.5,130,6,90,1.5,180,0.5,90,2.5,130,0,0,1.5,130,0,0,0,0
,2021,0,0,0,0,1,180,0,0,4,140,0,0,1.5,90,0.5,130,1,130,0,0,0,0,0,0
,2022,0,0,0,0,1.5,180,2,180,1.5,180,0,0,2,120,2.5,130,0,0,6,50,0,0,0,0
,2023,1,360,1.5,180,0,0,4,300,1.5,50,1.5,180,0,0,1,120,0,0,1.5,130,3.5,50,0,0
,2024,0,0,1,320,0,0,0,0,7.5,130,1,180,**,**,**,**,**,**,**,**,**,**,**,**
,Station :Khulna,,,,,,Lat.22Deg.47Mts.N,,,,,,Long.89Deg.32Mts.E,,,,,,,,,,,,
,2017,8,360,6,180,9,180,10,150,8,150,8,180,6,180,8,130,9,180,10,130,4,330,2,330
,2018,4,320,4,180,6,180,12,270,10,270,12,100,7,140,9,130,5,130,7,140,5,130,4,330
,2019,2,360,2.5,130,7.5,310,7,330,9,180,3,230,5,180,5,130,4,210,2,100,10,70,1.5,330
,2020,1.5,360,2,330,2.5,270,4,150,10.5,140,3.5,180,3,210,11.5,230,2.5,210,3,180,2.5,160,1,330
,2021,2,140,2,180,3.5,180,2.5,180,5,130,4,180,5,180,3,180,5,130,3,130,0.5,320,2,130
,2022,1.5,330,4,310,4,210,5,210,3,230,3.5,180,3,130,6,130,3.5,180,4.5,30,1,310,1,210
,2023,1.5,330,2,270,3,180,3,180,6,150,5,180,4,180,6,90,6,80,5,180,2.5,90,2,290
,2024,1.5,320,2,210,6,320,3,210,9.5,170,7.5,270,4,180,**,**,**,**,**,**,**,**,**,**
,Station :Satkhira,,,,,,Lat.22Deg.43Mts.N,,,,,,Long.89Deg. 5Mts.E,,,,,,,,,,,,
,2017,5,280,5,20,6,40,8,150,4,270,6,30,3,90,3,180,3,180,10,180,3,30,2,360
,2018,5,30,4,180,3,220,7,270,5,180,8,330,6,120,4,140,4,120,2,40,2,360,4,270
,2019,1.5,340,2,40,2.5,220,2,180,16,180,1.5,180,2.5,180,2.5,90,2,180,1,360,22,50,2,360
,2020,2,360,2,360,4,270,2.5,170,41,90,2.5,180,2,180,3,30,1.5,280,1.5,30,1.5,10,1.5,20
,2021,1.5,30,1,340,6,300,2,170,7.5,90,2.5,140,2.5,50,1.5,200,4,80,3,140,1.5,40,2,330
,2022,1.5,330,2.5,300,3,180,2,180,2.5,180,2.5,180,2,140,9,20,2,180,8.5,300,1,360,1.5,270
,2023,1.5,20,1,220,4,220,2.5,50,6,320,2.5,180,2,220,4,220,3,90,3,180,8,40,4,360
,2024,3,320,3,360,5,220,6,280,20,50,6,180,**,**,**,**,**,**,**,**,**,**,**,**
,Station :Barisal,,,,,,Lat.22Deg.45Mts.N,,,,,,Long.90Deg.20Mts.E,,,,,,,,,,,,
,2017,6,320,10,180,18,210,12,210,8,210,10,210,8,180,10,150,12,120,10,220,6,330,3,180
,2018,6,320,8,310,8,210,10,360,15,180,12,120,15,150,12,120,15,90,10,120,21,40,6,330
,2019,3.5,300,3,180,5,200,5,210,10,180,9,360,5,120,5.5,130,5,100,1.5,100,10,300,1,320
,2020,3,320,2,210,2.5,240,5,300,15,210,4,200,4,190,5,170,5,60,4,90,1,340,1,320
,2021,2,150,2,180,5,210,5,350,7.5,160,4,100,5,150,4,150,6,90,3,160,1,310,4,80
,2022,2,360,2.5,320,5,190,5,180,6,310,5,210,3,120,4,90,2.5,190,7.5,60,1,320,1,300
,2023,1.5,320,3,320,2,320,3.5,180,5,180,4,180,4,90,6,140,5,210,2,180,4.5,350,,
,2024,1.5,360,3.5,350,2,170,4,180,10,180,3.5,270,**,**,**,**,**,**,**,**,**,**,**,**
,Station :Bhola,,,,,,Lat.22Deg.41Mts.N,,,,,,Long.90Deg.39Mts.E,,,,,,,,,,,,
,2017,4,330,8,130,13,130,9,150,7,150,12,50,6,150,14,130,11,50,18,130,4,50,5,180
,2018,8,330,8,310,18,50,14,310,17,30,12,200,17,110,15,110,14,120,9,70,6,330,9,330
,2019,5.5,330,6.5,30,16,150,7.5,150,11.5,200,7.5,360,7,150,6,90,7.5,120,5.5,0,11,70,2,30
,2020,3,290,3,260,3,30,4,30,8.5,150,3,150,4.5,170,5,80,4,130,5.5,60,2.5,130,3,300
,2021,3,220,5,210,6,160,7.5,330,9,120,5,160,8.5,130,4,120,6,150,6,130,1.5,330,3,150
,2022,3,250,3.5,300,6,210,6.5,150,6.5,220,5,240,6,150,6.5,50,6,80,10.5,30,2,250,2.5,300
,2023,2,350,3,130,3.5,120,4.5,160,5,150,5.5,240,6,130,5,120,4,130,4,240,6.5,110,2,300
,2024,2,300,4,350,5,240,5.5,150,12,120,4,120,5,130,**,**,**,**,**,**,**,**,**,**
,Station :Feni,,,,,,Lat.23Deg. 2Mts.N,,,,,,Long.91Deg.25Mts.E,,,,,,,,,,,,
,2017,6,310,8,180,10,310,12,180,20,310,9,180,9,180,8,180,8,180,6,180,6,310,5,310
,2018,8,310,8,310,7,180,6,150,8,310,8,180,8,180,10,180,8,310,33,20,4,360,6,310
,2019,2.5,330,4,310,3,310,5,180,7.5,190,4,180,4,180,4,180,3,180,3,360,4,80,2.5,310
,2020,2,330,3,130,2.5,320,4,360,6,130,4,180,4,130,3,180,2.5,180,4,150,2,360,2,360
,2021,2,310,2,310,2.5,180,4.5,310,3,210,2.5,180,4,210,2.5,180,2,130,3,180,2,360,2.5,110
,2022,1.5,270,4,360,4,250,5,210,3,180,4,180,3,150,4,180,3,160,10,110,2,360,,
,2023,1.5,310,2.5,230,2.5,310,4,230,4,180,6,180,3,210,3,210,2,180,2.5,310,6,180,17.5,10
,2024,2,310,6,180,2,180,4,180,6,170,4,180,**,**,**,**,**,**,**,**,**,**,**,**
,Station :M.court,,,,,,Lat.22Deg.52Mts.N,,,,,,Long.91Deg. 6Mts.E,,,,,,,,,,,,
,2017,8,310,10,130,10,310,12,310,12,310,13,130,9,180,8,180,8,130,11,180,8,310,8,310
,2018,6,360,10,310,15,310,14,310,12,220,10,180,8,130,10,130,8,130,8,130,6,310,8,360
,2019,4,310,4,50,6,50,6,50,7,130,4.5,180,6.5,180,6,130,4.5,130,2.5,180,6,50,3,360
,2020,4,130,3,270,13.5,20,5.5,50,6.5,180,6,130,4.5,130,6,180,6,180,6.5,30,15.5,20,13.5,30
,2021,3.5,310,2.5,310,4.5,130,5.5,50,5,130,5,130,5.5,130,4,180,4,130,3,130,15.5,20,4,50
,2022,4,310,4,130,6,130,4.5,130,5.5,130,9,40,4.5,230,5.5,130,4,130,6.5,50,3,310,2.5,360
,2023,4,310,3.5,220,3,130,4,310,5.5,360,5,180,4.5,130,6,130,5.5,130,15.5,20,4,50,2,310
,2024,2.5,40,4,310,4,50,5.5,180,6,130,5,180,**,**,**,**,**,**,**,**,**,**,**,**
,Station :Hatiya,,,,,,Lat.22Deg.26Mts.N,,,,,,Long.91Deg. 6Mts.E,,,,,,,,,,,,
,2015,3,310,3,180,4,360,8,130,6,130,7,130,12,90,10,180,8,180,14,90,2,360,3,130
,2016,3,180,8,180,4,180,16,180,25,130,7,130,10,130,15,120,10,130,12,90,10,130,1,340
,2017,3,360,4,180,12,180,22,50,20,360,20,180,5,130,8,270,5,150,12,180,3,360,6,160
,2018,4,320,5,90,15,360,9,320,10,120,12,180,10,140,12,180,16,130,8,150,2,130,5,360
,2019,1.5,280,4,360,3.5,50,5,360,17.5,180,6,50,4,180,16.5,120,6,130,1.5,40,4,180,2,360
,2020,2,360,2,320,2,320,6,280,22.5,180,3.5,180,3,220,7.5,130,6,130,6,130,3,180,1.5,50
,2021,2,180,2.5,340,4.5,230,4.5,100,11,130,3.5,180,3,130,2.5,180,6,180,3.5,140,1,360,2,330
,2022,3.5,340,2.5,210,2.5,180,6,180,3,210,2.5,180,3,180,6,170,4,200,16,50,2,340,1.5,330
,2023,2,360,2.5,160,6,20,7,280,9,130,6,140,5,150,7.5,140,6,180,2.5,130,25.5,180,2,330
,2024,1.5,360,4.5,60,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
,Station :Sitakunda,,,,,,Lat.23Deg.35Mts.N,,,,,,Long.91Deg.42Mts.E,,,,,,,,,,,,
,2017,6,310,11,220,18,180,12,180,20,310,16,180,12,180,12,990,8,180,18,130,2,360,4,180
,2018,5,220,5,270,9,220,9,220,7,180,6,220,8,120,8,180,8,300,4,140,2,270,5,220
,2019,1,320,2.5,220,11,20,6,20,5.5,140,3,160,3.5,120,3,170,4,130,1.5,150,3.5,140,1,310
,2020,1.5,140,1.5,140,2,310,2,220,4.5,140,2,230,2,220,11.5,220,11.5,140,2,180,1,220,0,0
