Monthly Temperature (°C) in 2003,,,,,,,,,,,,,,,,,,,,,,,,
Station,Max_Jan,Max_Feb,Max_Mar,Max_Apr,Max_May,Max_Jun,Max_Jul,Max_Aug,Max_Sep,Max_Oct,Max_Nov,Max_Dec,Min_Jan,Min_Feb,Min_Mar,Min_Apr,Min_May,Min_Jun,Min_Jul,Min_Aug,Min_Sep,Min_Oct,Min_Nov,Min_Dec
Ishurdi,21.7,27.5,30.3,34.8,35.4,32.7,33.1,33.5,32.5,31.1,29.8,25.7,8.3,14.7,18.1,23.7,24.8,25.6,26.4,26.5,25.9,23.9,16.8,12.9
Bogra,21.3,26.9,29.0,33.2,33.3,31.6,33.0,33.1,32.4,30.7,29.9,26.3,9.5,15.2,18.4,23.1,23.9,25.7,26.8,26.8,26.1,24.1,18.1,14.6
Rangpur,20.3,25.7,28.1,30.5,32.1,31.2,32.4,33.0,32.4,30.1,28.4,25.5,9.3,14.1,17.2,21.5,23.3,24.9,26.2,27.0,25.8,23.3,17.6,14.3
Dinajpur,19.6,25.6,28.4,31.4,32.8,31.9,32.7,33.2,32.3,30.2,28.5,25.3,8.2,13.8,17.1,21.3,23.3,25.1,26.3,26.8,25.8,23.1,17.1,12.9
Sayedpur,20.3,25.9,28.7,31.1,32.7,31.8,33.0,33.6,32.7,30.5,28.7,25.7,8.6,14.1,16.8,21.0,22.9,24.8,26.2,26.7,25.7,23.0,17.2,13.6
Khulna,23.9,29.5,31.5,35.1,35.7,32.9,32.7,32.9,32.9,32.3,30.5,25.9,11.1,16.7,19.6,25.5,26.0,26.2,26.5,26.7,26.3,25.0,19.0,15.4
Mongla,24.0,29.4,31.3,34.7,35.3,32.7,32.7,32.7,32.7,32.2,30.0,25.9,12.2,17.8,20.7,25.6,26.2,26.4,26.7,26.7,26.3,25.2,20.1,15.9
Satkhira,23.5,28.8,31.1,35.0,35.5,33.5,32.6,32.7,32.6,31.7,30.0,25.6,10.5,17.0,19.8,25.6,25.8,26.7,26.8,26.7,26.3,24.9,18.2,14.1
Jessore,23.8,29.2,31.7,35.9,36.8,34.1,33.6,33.9,33.4,32.1,31.1,26.4,9.3,15.7,18.7,24.0,25.0,25.9,26.2,26.2,25.7,24.0,17.0,13.2
Chuadanga,22.2,28.3,31.2,35.7,36.4,33.9,33.2,33.4,32.7,31.1,29.8,25.6,8.9,15.5,18.6,24.1,25.2,26.2,26.5,26.6,25.8,24.2,17.3,13.3
Barisal,23.9,28.9,30.9,33.5,33.6,31.1,31.8,32.0,31.7,31.9,30.0,26.1,11.1,16.1,19.5,24.8,26.0,25.7,26.5,26.7,26.1,24.8,18.1,14.7
Patuakhali,24.5,29.3,31.5,34.0,34.2,31.0,31.8,32.2,32.2,32.0,29.9,26.2,12.3,16.9,19.7,24.6,25.6,25.3,26.2,26.5,25.9,24.8,19.6,15.5
Khepupara,24.8,29.1,30.7,32.7,33.1,30.9,31.2,31.0,31.5,31.9,29.9,26.6,12.3,17.2,20.3,25.3,26.3,25.9,26.6,26.6,26.0,25.0,19.1,15.5
Bhola,23.9,28.9,30.5,33.0,33.1,30.7,31.5,31.6,31.2,31.9,29.9,26.3,11.3,16.5,19.5,24.9,25.9,25.6,26.3,26.4,25.9,24.9,18.2,14.7
