,"Monthly Average Minimum Temperature by Station, 2011-16 (Celsius)",,,,,,,,,,,,,
,Year,Jan.,Feb.,Mar.,Apr.,May.,Jun.,Jul.,Aug.,Spt.,Oct.,Nov.,Dec.,Annual
,2012,13.2,14.1,20.4,23.1,25.2,26.5,26.4,26.5,26.4,23.6,18.2,13.3,21.4
,2013,10.4,15,20.2,23.7,24.5,26.7,26.6,26.3,26.2,24.2,17.5,14.4,21.3
,2014,11.8,14,18.8,23.8,25.4,26.1,26.6,26.3,26.2,23.5,17.9,13.9,21.2
,2015,13,15.4,18.7,22.6,25.2,26.2,26,26.7,26.2,23.8,19,15.1,21.5
,2016,11.9,17.8,21,26.2,24.7,26.2,26.3,26.6,26.3,24.4,18.7,15.1,22.1
,Station : Madaripur,,,,,,,,,,,,,
,2011,10.7,14.7,19.4,22.1,24.3,25.9,26.1,26,26.1,24.2,18.1,14,21
,2012,12.9,13.9,21.1,22.9,25.1,26.4,26.2,26.2,25.9,23.1,18,12.6,21.2
,2013,9.9,14.7,20.3,23.4,24.1,26.4,26.3,26,25.8,23.9,18.8,12.7,21
,2014,11.3,13.8,18.7,23.6,25,25.7,26.2,25.7,25.5,22.9,17.4,13.4,20.8
,2015,12.7,14.9,18,22.7,24.8,26,25.6,26.2,25.8,23.6,18.8,14.9,21.2
,2016,12,18.1,21.1,25.8,24.6,26.1,26.2,26.1,25.9,24.2,18.6,14.8,22
,Station : Khulna,,,,,,,,,,,,,
,2011,11.9,16.1,20.5,23.4,25.4,26.4,26.5,26.2,25.9,25.2,19.3,14.7,21.8
,2012,14.3,15.5,21.9,24.3,26.3,27.7,26.6,26.6,26.5,23.6,19,13.7,22.2
,2013,11.6,15.5,21.1,24.1,25.1,27,26.6,26.2,26.3,24.4,18.2,14.9,21.8
,2014,12.6,15.1,20.1,25.1,26.6,26.4,26.9,26.7,26,23.9,18.4,14.1,21.8
,2015,13.8,16.5,19.7,23.9,26.6,26.7,25.8,26.7,26.2,24.3,20.1,16.6,22.2
,2016,13.4,19.4,22.6,26.6,25.3,26.5,26.5,26.4,26.4,24.8,19.4,15.5,22.7
,Station : Satkhira,,,,,,,,,,,,,
,2011,11.5,15.7,20.6,23.3,25.4,26.7,26.7,26.4,26.1,25,19.1,14.6,21.8
,2012,14.1,14.9,21.5,24,26.8,27.7,26.8,26.6,26.5,23.3,18.4,13,22
,2013,11.3,15,20.5,24.3,25.4,26.9,26.8,26.5,26.4,24.5,17.8,14.5,21.7
,2014,12.6,15.3,19.8,25.1,26.6,26.6,27.1,26.9,26.2,23.6,17.4,13.5,21.7
,2015,13.6,16.2,19.4,24,27.1,27,25.8,26.9,26.2,24.1,19.4,15.7,22.1
,2016,13,19.2,22.5,26.6,25.3,26.5,26.6,26.4,26.4,24.4,18.2,14.2,22.4
,Station : Barisal,,,,,,,,,,,,,
,2011,10.9,15.2,20.1,23,25.1,26.2,26.4,25.9,25.9,24.4,18.3,14.2,21.3
,2012,12.9,14.3,21.8,23.7,25.8,27.2,26.5,26.2,25.9,23.3,18.6,12.6,21.6
,2013,10.5,14.7,20.9,24,24.8,26.8,26.4,26.2,26,24.3,17.6,14.1,21.4
,2014,11.8,14.6,19.8,24.9,26,26.5,26.6,26.4,26,23.4,18.2,13.9,21.5
,2015,13.1,15.4,19,23.7,26.2,26.4,25.8,26.2,26,24.1,19.3,15.7,21.7
,2016,12.6,18.9,22.3,26.5,25.6,26.6,26.1,26.1,26.1,24.6,19,15.2,22.5
,Station : Bhola,,,,,,,,,,,,,
,2011,11.4,15.4,20.1,23.1,25,26.1,26.1,25.8,25.8,24.6,18.6,15,21.4
,2012,13.3,14.3,21.8,23.6,25.9,26.7,26.1,26,26.1,23.3,18.8,13.3,21.6
,2013,10.9,15.3,21.1,24.2,24.6,26.7,26.3,26,25.9,24.2,17.8,14.2,21.4
,2014,12,14.5,19.8,24.7,25.9,26,26.5,26.1,25.6,23.4,18.2,13.8,21.4
,2015,13.3,15.4,18.8,23.7,25.9,26.3,25.6,26.3,26,24,19.1,15.7,21.7
,2016,12.4,19,22,26.6,25.1,26.4,26.1,26.1,26.1,24.7,19,15,22.4
,Station : Feni,,,,,,,,,,,,,
,2011,11.4,15.8,19.7,22.5,24.1,25.4,25.6,25.2,25.3,24.2,18,14.5,21
,2012,12.9,14.6,21.2,22.6,25.2,25.1,25.2,25.4,25.5,23.2,18.5,13.1,21
,2013,10.8,15.3,20.3,23.7,24.2,26.1,25.6,25.4,25.2,23.8,17.8,14.3,21
,2014,12.7,15,19.2,24.3,25.6,25.5,25.8,25.4,25.4,23.7,19,14.1,21.3
,2015,13.4,15.7,19.1,22.7,25.1,25.4,25,25.8,25.6,23.6,19.4,15,21.3
,2016,12.7,18.7,21.9,25.7,24.5,25.7,25.5,25.5,25.4,24.3,19,15.7,22.1
,Station : M.Court,,,,,,,,,,,,,
,2011,12.7,16.9,20.3,22.9,24.6,26.1,26.5,26,26.1,25.2,20.4,16.1,22
,2012,14.4,15.5,22.1,23.6,25.7,26.6,26.4,26.3,26.2,24.6,20.4,14.7,22.2
,2013,12.4,16.8,21.1,23.9,24.6,26.9,26.5,26.2,26.3,25,20.1,16.2,22.2
,2014,13.6,****,26.4,24.6,26.1,26.3,26.6,26.2,26,24.9,20.6,15.9,****
,2015,15.2,16.6,19.7,23.3,25.8,26.3,26,26.3,26.3,24.9,21.1,17.2,22.4
,2016,14.5,19.7,22.7,26.5,25.1,26.5,25.9,26.1,26.1,25.1,20.5,17.1,23
,Station : Hatiya,,,,,,,,,,,,,
,2011,11.8,15.7,20.1,23.1,25.1,26,25.9,25.7,25.7,24.5,18.8,15.2,21.5
,2012,13.4,15.3,21.3,23.3,25.8,26.6,25.9,25.8,26.1,23.6,19.3,13.6,21.7
,2013,11.7,15.6,20.3,23.9,24.7,26.1,25.7,25.2,25.5,24.3,18.9,14.8,21.4
,2014,12.6,15.4,19.4,24.3,25.8,26,26,25.7,25.4,24.1,19.1,15,21.6
,2015,14.4,15.5,19.3,23.4,25.5,25.9,25.3,25.8,25.5,24.3,20,16.4,21.8
,2016,13.6,19.1,22.2,26.1,25.5,26,25.7,25.9,25.9,24.8,19.6,16.2,22.6
,Station : Sitakunda,,,,,,,,,,,,,
,2011,10.4,14,18.5,22.3,24.3,25.7,25.3,25.1,25.2,23.5,17,13.5,20.4
,2012,12.5,13.3,21.1,23,24.9,25.5,25.3,25.2,25.5,22.9,18.4,11.9,20.8
,2013,10,14.5,19.1,23.5,24.3,25.9,25.6,25.4,25,23.7,17.2,13.3,20.6
,2014,11.3,14,18.7,23.9,25.9,25.7,26.1,25.5,25.3,23.4,18,13.3,20.9
,2015,13,14.1,18.7,22.9,25.3,25.8,25.3,25.6,25.3,23.3,18.4,14.5,21
,2016,11.8,17.7,21.4,26.5,24.8,25.8,25.5,25.8,25.7,24.2,18.5,14.8,21.9
,Station : Sandwip,,,,,,,,,,,,,
,2011,11.8,15.5,19.7,22.7,24.7,25.8,25.6,25.4,25.6,24.2,18.3,15.1,21.2
,2012,13.5,14.9,21.6,23.5,25.4,25.9,25.5,25.6,26,23.7,19.3,****,****
,2013,11.4,15.4,20.1,24,24.6,26.1,25.9,25.4,25.5,24.1,18.4,14.9,21.3
,2014,13.6,15.6,19.7,24.7,26,25.5,26,25.6,25.6,24.4,19.5,15.3,21.8
,2015,14.5,15.8,19.2,23.6,25.7,26.1,25.4,25.9,25.9,24.1,19.7,16.1,21.8
,2016,13.7,18.9,22.1,26.7,25.2,25.9,25.4,25.7,25.9,24.8,19.6,16.4,22.5
,Station : Kutubdia,,,,,,,,,,,,,
,2011,14.5,17.6,20.6,24.2,25.2,25.9,25.9,25.6,25.5,24.7,19.3,16.3,22.1
,2012,15.1,16.5,21.8,24.3,25.8,25.8,25.3,25.7,25.8,24.4,20.4,14.7,22.1
,2013,13.4,17.4,21.2,24.2,24.5,25.6,25.1,25.2,24.8,23.8,19,15.8,21.7
,2014,15.1,17.3,20.6,25.2,26.8,26.3,26.3,25.8,25.7,24.8,20.7,16.8,22.6
,2015,16.5,17.4,21,24.1,26.4,26.2,25.6,25.9,26.1,24.6,20.5,17.3,22.6
