Monthly Temperature (°C) in 1996,,,,,,,,,,,,,,,,,,,,,,,,
Station,Max_Jan,Max_Feb,Max_Mar,Max_Apr,Max_May,Max_Jun,Max_Jul,Max_Aug,Max_Sep,Max_Oct,Max_Nov,Max_Dec,Min_Jan,Min_Feb,Min_Mar,Min_Apr,Min_May,Min_Jun,Min_Jul,Min_Aug,Min_Sep,Min_Oct,Min_Nov,Min_Dec
Chandpur,24.9,28.2,32.7,33.3,33.8,32.4,31.9,31.0,32.6,31.6,29.5,26.5,14.3,16.5,22.5,23.9,25.7,25.5,26.2,25.8,26.2,23.9,19.8,16.1
M_Court,25.1,28.1,31.7,33.0,33.4,31.9,31.2,29.9,32.2,31.7,29.9,27.1,14.6,16.4,22.4,23.7,25.3,25.6,26.0,25.7,26.4,24.3,20.5,16.4
Feni,26.3,29.0,31.8,32.5,33.2,31.8,31.5,30.6,32.5,31.3,29.8,27.6,12.9,15.5,22.3,23.5,24.7,25.2,25.7,25.3,25.7,23.0,18.6,15.1
Hatiya,25.5,28.1,30.8,32.1,32.6,31.3,30.8,29.6,31.7,31.5,29.8,27.1,15.0,17.0,23.4,24.7,26.0,25.9,26.3,25.5,26.2,24.4,20.7,15.9
Cox's_Bazar,27.0,29.1,30.7,32.7,32.9,31.3,31.2,30.0,31.5,31.5,30.6,28.8,15.8,17.7,22.5,24.1,25.3,25.1,25.5,24.9,25.0,24.5,20.8,17.5
Kutubdia,26.4,28.7,31.0,32.0,33.2,31.5,30.8,29.9,31.5,31.7,30.2,28.4,14.9,16.2,22.4,23.7,25.3,23.9,24.3,24.5,25.0,23.6,20.6,16.9
Teknaf,27.2,29.4,30.2,31.9,32.3,31.2,30.4,29.9,31.1,31.5,30.6,29.1,15.6,16.8,22.0,23.9,26.0,25.6,25.6,25.0,25.4,24.5,21.1,17.5
Sylhet,25.2,28.5,30.8,32.0,31.2,31.5,30.9,31.4,33.0,31.3,29.6,27.8,12.8,14.7,19.9,22.0,22.8,24.3,25.1,25.1,25.3,22.6,18.8,14.8
Srimangal,25.2,28.7,32.6,33.4,33.0,32.5,32.1,32.1,33.2,32.1,30.0,27.6,9.3,12.0,19.3,21.8,23.2,24.1,25.2,25.1,24.8,21.4,16.4,11.6
Rajshahi,24.4,28.0,34.2,37.0,36.7,32.9,32.9,32.5,33.3,31.1,29.4,26.1,11.0,13.2,19.4,22.5,25.3,25.1,26.3,26.0,26.1,22.8,16.8,12.0
Ishurdi,24.5,28.0,34.0,36.7,36.0,32.8,32.7,31.9,33.0,31.2,29.7,26.4,10.4,13.0,19.8,22.7,25.5,25.2,26.3,25.7,25.8,22.6,16.8,11.8
Bogra,24.6,27.7,32.2,34.6,34.6,32.2,32.3,32.2,33.0,31.7,30.3,27.2,12.2,15.0,20.2,23.0,24.6,25.6,26.5,26.3,26.2,23.0,17.7,13.2
Rangpur,23.0,27.2,31.3,34.2,32.3,31.5,31.6,32.1,32.1,30.6,29.0,26.0,11.1,13.5,18.0,21.4,23.1,24.7,26.0,26.1,25.5,22.2,17.2,12.5
Dinajpur,22.8,27.2,32.2,35.3,34.1,31.8,32.0,32.2,32.4,30.9,29.2,26.3,10.7,13.4,18.1,20.5,23.4,25.0,26.3,26.4,25.7,22.1,15.9,11.1
Sayedpur,22.7,26.8,31.6,34.7,32.2,31.5,31.4,31.9,32.2,30.5,28.9,26.0,11.5,14.4,18.9,21.5,23.3,25.0,26.2,26.2,25.8,22.6,17.1,12.4
Khulna,26.0,29.5,34.5,35.1,35.6,32.9,32.8,31.0,33.4,32.1,30.2,27.0,12.6,13.9,22.2,23.6,25.7,25.5,26.2,25.7,26.1,23.2,18.6,13.0
Mongla,25.4,28.8,33.6,34.5,35.4,32.1,32.0,30.4,32.7,31.3,29.5,26.3,14.8,16.8,23.4,24.8,26.3,25.8,26.4,25.9,26.4,24.2,20.0,15.7
Satkhira,25.8,29.1,33.9,34.2,36.0,33.3,32.6,31.3,33.3,32.0,30.4,26.9,12.6,15.1,22.6,24.0,26.0,25.4,26.2,25.7,25.6,22.4,17.3,12.3
Jessore,25.2,28.5,34.2,36.0,36.0,32.9,32.5,31.7,33.7,32.2,30.6,26.9,11.5,14.2,21.1,22.8,25.2,25.2,26.1,25.7,25.5,22.3,17.0,12.1
Chuadanga,24.7,28.4,34.3,36.1,37.0,32.8,32.8,32.0,33.4,32.0,29.9,26.1,11.3,13.8,20.7,23.0,25.7,25.6,26.3,25.7,26.1,22.7,17.1,12.0
Barisal,25.8,29.2,33.1,34.1,34.3,32.1,32.0,30.5,33.0,32.3,30.3,27.1,12.4,15.0,22.3,23.5,25.3,25.2,25.7,25.3,25.3,23.0,18.3,13.4
Patuakhali,25.7,28.9,32.6,33.9,33.9,31.6,31.7,30.2,32.5,31.7,29.4,26.5,13.6,15.9,22.7,23.5,25.8,25.5,26.0,25.5,25.9,23.7,19.3,14.8
Khepupara,26.0,29.0,31.6,33.2,33.1,31.3,31.1,29.7,31.7,31.3,29.3,26.7,14.3,16.8,23.7,24.6,26.4,25.9,26.3,25.4,25.9,24.3,19.9,15.6
Bhola,26.0,29.1,32.4,33.1,33.3,31.7,31.4,30.1,32.3,32.1,30.2,27.5,13.0,15.5,22.6,23.9,25.8,25.5,26.2,25.5,25.9,23.7,19.7,14.6
