id,name,sector,subsector,country,assetType,sourceType,centroid,gas,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year
1259159,Sherpur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.09527705674645, 'latitude': 25.092141152000096, 'srid': 4326}",pm2_5,1035.8217800000002,1.4577808843734307e-06,t of PM2_5 per MJ,710546962.9238602,MJ,74107382.23584001,m^2,9.588072624972895,2024
1259129,Khagrachhari District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.96224022882681, 'latitude': 23.210444450500116, 'srid': 4326}",pm2_5,1022.5210099999999,1.4556213415533966e-06,t of PM2_5 per MJ,702463601.4945998,MJ,73318074.28104,m^2,9.581042715360248,2024
1259171,Lalmonirhat District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.16543288628411, 'latitude': 26.122104645000096, 'srid': 4326}",pm2_5,981.60543,1.552351069345346e-06,t of PM2_5 per MJ,632334688.5791501,MJ,66212739.35555998,m^2,9.550045727356725,2024
1259136,Gopalganj District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.86240928011107, 'latitude': 23.106719970500112, 'srid': 4326}",pm2_5,979.98088,1.4539004586685164e-06,t of PM2_5 per MJ,674035745.8154099,MJ,70281033.99539998,m^2,9.590578104749095,2024
1016126,Narayanganj District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.61697169957237, 'latitude': 23.715337753500133, 'srid': 4326}",pm2_5,973.8670000000001,1.4505423398866558e-06,t of PM2_5 per MJ,671381298.719,MJ,47336811.18,m^2,14.183069834722229,2024
1259138,Madaripur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.13017483444312, 'latitude': 23.231163979000055, 'srid': 4326}",pm2_5,900.2524399999999,1.453901086432548e-06,t of PM2_5 per MJ,619197859.05722,MJ,64563142.48943999,m^2,9.590578078793122,2024
1259144,Shariatpur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.42202219036075, 'latitude': 23.228141785000073, 'srid': 4326}",pm2_5,872.7245999999999,1.4539010879875337e-06,t of PM2_5 per MJ,600264080.6934199,MJ,62588936.16924002,m^2,9.590578102658755,2024
1259130,Lakshmipur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.85837350775012, 'latitude': 22.86313116500017, 'srid': 4326}",pm2_5,849.35201,1.4538891598799333e-06,t of PM2_5 per MJ,584193096.3087599,MJ,60913230.774960004,m^2,9.590578087493398,2024
1016110,Chittagong District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 91.92721177709369, 'latitude': 22.423513412000034, 'srid': 4326}",pm2_5,802.0229999999999,1.4505520599321104e-06,t of PM2_5 per MJ,552908800.831,MJ,38983718.604,m^2,14.183069769395157,2024
1259143,Rajbari District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.57524754932709, 'latitude': 23.735338211000084, 'srid': 4326}",pm2_5,779.26592,1.4539039556875479e-06,t of PM2_5 per MJ,535981704.26015997,MJ,55886277.181800015,m^2,9.590578068326018,2024
1259154,Narail District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.52866845062161, 'latitude': 23.132341385000103, 'srid': 4326}",pm2_5,761.3266400000001,1.4538851449951454e-06,t of PM2_5 per MJ,523649782.52979004,MJ,54600439.81512001,m^2,9.59057810345294,2024
1016120,Gazipur District,buildings,non-residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.40776229902806, 'latitude': 24.092392922000073, 'srid': 4326}",pm2_5,718.3209999999999,1.450541856671547e-06,t of PM2_5 per MJ,495208736.44299996,MJ,34915482.924,m^2,14.183069944096527,2024
1259118,Bhola District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.76762990262384, 'latitude': 22.397237589000156, 'srid': 4326}",pm2_5,710.97554,1.4433287974757805e-06,t of PM2_5 per MJ,492594300.92673004,MJ,51362315.8992,m^2,9.590578078555888,2024
1259152,Magura District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.4566823023128, 'latitude': 23.469608307500124, 'srid': 4326}",pm2_5,707.4706799999999,1.4539113092751394e-06,t of PM2_5 per MJ,486598237.10479,MJ,50737112.38728001,m^2,9.59057806424912,2024
1259116,Barguna District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.97252104562573, 'latitude': 22.149540829000074, 'srid': 4326}",pm2_5,607.22368,1.4348569223529868e-06,t of PM2_5 per MJ,423194585.14667,MJ,44126076.77939999,m^2,9.590578089739353,2024
1259121,Pirojpur District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 89.99539263597546, 'latitude': 22.51473236150011, 'srid': 4326}",pm2_5,520.7376,1.4539193603324237e-06,t of PM2_5 per MJ,358161266.85384995,MJ,37345117.77372,m^2,9.590578051567702,2024
1259122,Bandarban District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 92.38619595163928, 'latitude': 21.770052909000157, 'srid': 4326}",pm2_5,494.85586000000006,1.4412913757160607e-06,t of PM2_5 per MJ,343341997.55698,MJ,35801011.94976,m^2,9.590287504688305,2024
1259119,Jhalokati District,buildings,residential-onsite-fuel-usage,BGD,,gadm-aggregation,"{'longitude': 90.12547576009126, 'latitude': 22.561716079500087, 'srid': 4326}",pm2_5,409.58491000000004,1.4539144904567295e-06,t of PM2_5 per MJ,281711828.78253996,MJ,29373811.142759994,m^2,9.590578063343196,2024
