full_name,id,level,level_0_id,level_1_id,level_2_id,name,year,month,sector,gas,emissionsQuantity
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,waste,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,waste,ch4,888.7825331142094
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,transportation,ch4,1.0273957123445836
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,transportation,ch4,16.700040017618345
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,agriculture,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,agriculture,ch4,1517.7494166666665
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,agriculture,ch4,10996.076189645946
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,agriculture,ch4,1770.6583333333328
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,buildings,ch4,281.456
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,fossil-fuel-operations,ch4,15715.175738837515
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,fossil-fuel-operations,ch4,1.9176853183333333
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,fossil-fuel-operations,ch4,4355.795317571147
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,agriculture,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,power,ch4,270.1320294978
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,fossil-fuel-operations,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,manufacturing,ch4,513.4270131202068
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,manufacturing,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,mineral-extraction,ch4,0
Bangladesh,BGD,0,BGD,,,Bangladesh,2024,5,buildings,ch4,0.11373521285850101
