is_source,org,file,ext,author
True,Other,FAO_966.pdf,.pdf,"Chakma, Nikhil (FAOBD)"
True,Other,FAO_BFI-Report_final_08_02_2021.pdf,.pdf,
True,Other,FAO_BFI_analysis_document_final_v4.pdf,.pdf,FAO-NFI
True,Other,FAO_BFI_manual.pdf,.pdf,
True,Other,FAO_OpenKnowledge_Content.pdf,.pdf,
True,Other,FAO_OpenKnowledge_Content_repaired.pdf,.pdf,
True,Other,GLA_Data_Sarker_693.xlsx,.xlsx,SK
True,Other,GLA_researchdata_eprint_693.csv,.csv,
True,Other,GW_locations_metadata.csv,.csv,
True,Other,VTechWorks_Bangladesh_Item_Download.pdf,.pdf,Sharif Islam
True,Other,WDPA_WDOECM_May2026_Public_BGD_csv.csv,.csv,
True,Other,monthly_groundwater_levels.xlsx,.xlsx,Microsoft Office User
True,UN,UNSD_Bangladesh_Environmental_Statistics_Framework_2016_2030.pdf,.pdf,
True,UN,UNSD_Bangladesh_Pilot_Survey_SADDD_CCA_DRR.pdf,.pdf,
True,UNESCO,UNESCO_Reactive_Monitoring_Mission_The_Sundarbans_2019.pdf,.pdf,World Heritage Centre
True,UNESCO,UNESCO_State_Party_Report_The_Sundarbans_2016.pdf,.pdf,
True,UNESCO,UNESCO_State_of_Conservation_Report_The_Sundarbans_2025.pdf,.pdf,
True,UNESCO,UNESCO_The_Sundarbans_Bangladesh_Report_2022.pdf,.pdf,
True,WHO,WHO_Bangladesh_Climate_Change_WASH.pdf,.pdf,Rory Moses McKeown
True,WHO,WHO_Health_and_Climate_Change_Country_Profile_Bangladesh_2015.pdf,.pdf,admin
True,WorldBank,WorldBank_Urban_Bangladesh_Country_Environmental_Analysis_2018.pdf,.pdf,World Bank Group
