Station_Name,Year,Month,Type,Wind_Speed,Direction
Ambagan (Ctg),2019,12,Maximum,3,330
Ambagan (Ctg),2019,12,Minimum,1,50
Ambagan (Ctg),2020,1,Maximum,3,310
Ambagan (Ctg),2020,1,Minimum,2,50
Ambagan (Ctg),2020,2,Maximum,4,180
Ambagan (Ctg),2020,2,Minimum,1,100
Ambagan (Ctg),2020,3,Maximum,4,310
Ambagan (Ctg),2020,3,Minimum,1,100
Ambagan (Ctg),2020,4,Maximum,5,210
Ambagan (Ctg),2020,4,Minimum,1,140
Ambagan (Ctg),2020,5,Maximum,7.5,270
Ambagan (Ctg),2020,5,Minimum,1,100
Ambagan (Ctg),2020,6,Maximum,5,230
Ambagan (Ctg),2020,6,Minimum,1,180
Ambagan (Ctg),2020,7,Maximum,4,180
Ambagan (Ctg),2020,7,Minimum,2,100
Ambagan (Ctg),2020,8,Maximum,7,180
Ambagan (Ctg),2020,8,Minimum,2,180
Ambagan (Ctg),2020,9,Maximum,5,230
Ambagan (Ctg),2020,9,Minimum,1,180
Ambagan (Ctg),2020,10,Maximum,4,130
Ambagan (Ctg),2020,10,Minimum,1,130
Ambagan (Ctg),2020,11,Maximum,16,20
Ambagan (Ctg),2020,11,Minimum,1,180
Ambagan (Ctg),2020,12,Maximum,2.5,300
Ambagan (Ctg),2020,12,Minimum,1,360
Ambagan (Ctg),2021,1,Maximum,4,230
Ambagan (Ctg),2021,1,Minimum,1,360
Ambagan (Ctg),2021,2,Maximum,5,360
Ambagan (Ctg),2021,2,Minimum,1,80
Ambagan (Ctg),2021,3,Maximum,6,230
Ambagan (Ctg),2021,3,Minimum,2,130
Ambagan (Ctg),2021,4,Maximum,10,230
Ambagan (Ctg),2021,4,Minimum,1,230
Ambagan (Ctg),2021,5,Maximum,35,210
Ambagan (Ctg),2021,5,Minimum,1,230
Ambagan (Ctg),2021,6,Maximum,4,180
Ambagan (Ctg),2021,6,Minimum,2,90
Ambagan (Ctg),2021,7,Maximum,4,270
Ambagan (Ctg),2021,7,Minimum,2,180
Ambagan (Ctg),2021,8,Maximum,4.5,230
Ambagan (Ctg),2021,8,Minimum,2,130
Ambagan (Ctg),2021,9,Maximum,5,180
Ambagan (Ctg),2021,9,Minimum,2,150
Ambagan (Ctg),2021,10,Maximum,4,150
