Station_Name,Year,Month,Day,Sunshine_Hours
Ambagan (Ctg),2008,11,12,9.8
Ambagan (Ctg),2008,11,14,7.7
Ambagan (Ctg),2008,11,15,6.8
Ambagan (Ctg),2008,11,16,3.2
Ambagan (Ctg),2008,11,17,9.8
Ambagan (Ctg),2008,11,18,10
Ambagan (Ctg),2008,11,19,10
Ambagan (Ctg),2008,11,20,10
Ambagan (Ctg),2008,11,21,7.6
Ambagan (Ctg),2008,11,22,8.4
Ambagan (Ctg),2008,11,23,9.2
Ambagan (Ctg),2008,11,24,9.5
Ambagan (Ctg),2008,11,25,9.6
Ambagan (Ctg),2008,11,26,9.3
Ambagan (Ctg),2008,11,27,9.6
Ambagan (Ctg),2008,11,28,9.6
Ambagan (Ctg),2008,11,29,9.5
Ambagan (Ctg),2008,11,30,9.2
Ambagan (Ctg),2008,12,1,8.6
Ambagan (Ctg),2008,12,2,8.6
Ambagan (Ctg),2008,12,3,7.7
Ambagan (Ctg),2008,12,4,7.2
Ambagan (Ctg),2008,12,5,9
Ambagan (Ctg),2008,12,6,8.2
Ambagan (Ctg),2008,12,7,8.2
Ambagan (Ctg),2008,12,8,7.2
Ambagan (Ctg),2008,12,9,3.6
Ambagan (Ctg),2008,12,10,7.1
Ambagan (Ctg),2008,12,11,7.1
Ambagan (Ctg),2008,12,12,7.4
Ambagan (Ctg),2008,12,13,6.7
Ambagan (Ctg),2008,12,14,8
Ambagan (Ctg),2008,12,15,8.4
Ambagan (Ctg),2008,12,16,6.3
Ambagan (Ctg),2008,12,17,5.7
Ambagan (Ctg),2008,12,18,6.3
Ambagan (Ctg),2008,12,19,3.4
Ambagan (Ctg),2008,12,20,3.8
Ambagan (Ctg),2008,12,21,0
Ambagan (Ctg),2008,12,22,0
Ambagan (Ctg),2008,12,23,6.6
Ambagan (Ctg),2008,12,24,6.1
Ambagan (Ctg),2008,12,25,1.9
Ambagan (Ctg),2008,12,26,5.8
Ambagan (Ctg),2008,12,27,3.4
Ambagan (Ctg),2008,12,28,2.8
Ambagan (Ctg),2008,12,29,7.5
Ambagan (Ctg),2008,12,30,8.5
Ambagan (Ctg),2008,12,31,8.7
Ambagan (Ctg),2009,1,1,8.4
Ambagan (Ctg),2009,1,2,8.8
Ambagan (Ctg),2009,1,3,9.3
Ambagan (Ctg),2009,1,4,8.9
Ambagan (Ctg),2009,1,5,7.3
Ambagan (Ctg),2009,1,6,7.3
Ambagan (Ctg),2009,1,7,7.9
Ambagan (Ctg),2009,1,8,8.3
Ambagan (Ctg),2009,1,9,7.8
Ambagan (Ctg),2009,1,10,8.3
Ambagan (Ctg),2009,1,11,7.9
Ambagan (Ctg),2009,1,12,8.1
Ambagan (Ctg),2009,1,13,8.9
Ambagan (Ctg),2009,1,14,8.5
Ambagan (Ctg),2009,1,15,7.9
Ambagan (Ctg),2009,1,16,9
Ambagan (Ctg),2009,1,17,8.5
Ambagan (Ctg),2009,1,18,9.1
Ambagan (Ctg),2009,1,19,5.5
Ambagan (Ctg),2009,1,20,8.5
Ambagan (Ctg),2009,1,21,7.8
Ambagan (Ctg),2009,1,22,6
Ambagan (Ctg),2009,1,23,5.4
Ambagan (Ctg),2009,1,24,4.1
Ambagan (Ctg),2009,1,25,3.9
Ambagan (Ctg),2009,1,26,6.7
Ambagan (Ctg),2009,1,27,7.3
Ambagan (Ctg),2009,1,28,9.1
Ambagan (Ctg),2009,1,29,8.6
Ambagan (Ctg),2009,1,30,6.6
Ambagan (Ctg),2009,1,31,6.6
Ambagan (Ctg),2009,2,1,8.6
Ambagan (Ctg),2009,2,2,9.4
Ambagan (Ctg),2009,2,3,8.9
Ambagan (Ctg),2009,2,4,8.4
Ambagan (Ctg),2009,2,5,8.3
Ambagan (Ctg),2009,2,6,8.5
Ambagan (Ctg),2009,2,7,9.4
Ambagan (Ctg),2009,2,8,9
Ambagan (Ctg),2009,2,9,9.3
Ambagan (Ctg),2009,2,10,9.5
Ambagan (Ctg),2009,2,11,9.6
Ambagan (Ctg),2009,2,12,3.7
Ambagan (Ctg),2009,2,13,7.9
Ambagan (Ctg),2009,2,14,9.4
Ambagan (Ctg),2009,2,15,9.7
Ambagan (Ctg),2009,2,16,9.9
Ambagan (Ctg),2009,2,17,9.7
Ambagan (Ctg),2009,2,18,9.9
Ambagan (Ctg),2009,2,19,9.8
Ambagan (Ctg),2009,2,20,9.7
Ambagan (Ctg),2009,2,21,9.8
Ambagan (Ctg),2009,2,22,9
Ambagan (Ctg),2009,2,23,9.2
Ambagan (Ctg),2009,2,24,5.9
Ambagan (Ctg),2009,2,25,0.8
Ambagan (Ctg),2009,2,26,5.1
Ambagan (Ctg),2009,2,27,7.1
Ambagan (Ctg),2009,2,28,6.2
Ambagan (Ctg),2009,3,1,7.2
Ambagan (Ctg),2009,3,2,9.9
Ambagan (Ctg),2009,3,3,9.2
Ambagan (Ctg),2009,3,4,7.5
Ambagan (Ctg),2009,3,5,8.1
Ambagan (Ctg),2009,3,6,8
Ambagan (Ctg),2009,3,7,8.8
Ambagan (Ctg),2009,3,8,9.3
Ambagan (Ctg),2009,3,9,8.9
Ambagan (Ctg),2009,3,10,6
Ambagan (Ctg),2009,3,11,2.2
Ambagan (Ctg),2009,3,12,4.7
Ambagan (Ctg),2009,3,13,8
Ambagan (Ctg),2009,3,14,6.4
Ambagan (Ctg),2009,3,15,1.7
Ambagan (Ctg),2009,3,16,0
Ambagan (Ctg),2009,3,17,4.7
Ambagan (Ctg),2009,3,18,6.8
