Station_Name,Year,Month,Rainfall
Bandarban,2023,12,30
Barisal,1949,1,0
Barisal,1949,2,9
Barisal,1949,3,8
Barisal,1949,4,140
Barisal,1949,5,217
Barisal,1949,6,512
Barisal,1949,7,575
Barisal,1949,8,349
Barisal,1949,9,252
Barisal,1949,10,128
Barisal,1949,11,41
Barisal,1949,12,0
Barisal,1950,1,0
Barisal,1950,2,90
Barisal,1950,3,13
Barisal,1950,4,66
Barisal,1950,5,87
Barisal,1950,6,476
Barisal,1950,7,546
Barisal,1950,8,337
Barisal,1950,9,187
Barisal,1950,10,339
Barisal,1950,11,98
Barisal,1950,12,0
Barisal,1951,1,0
Barisal,1951,2,0
Barisal,1951,3,67
Barisal,1951,4,137
Barisal,1951,5,114
Barisal,1951,6,394
Barisal,1951,7,375
Barisal,1951,8,194
Barisal,1951,9,286
Barisal,1951,10,301
Barisal,1951,11,31
Barisal,1951,12,0
Barisal,1953,1,10
Barisal,1953,2,3
Barisal,1953,3,3
Barisal,1953,4,46
Barisal,1953,5,339
Barisal,1953,6,715
Barisal,1953,7,526
Barisal,1953,8,166
Barisal,1953,9,174
Barisal,1953,10,45
Barisal,1953,11,0
Barisal,1953,12,0
Barisal,1954,1,0
Barisal,1954,2,3
Barisal,1954,3,56
Barisal,1954,4,14
Barisal,1954,5,70
Barisal,1954,6,500
Barisal,1954,7,260
Barisal,1954,8,360
Barisal,1954,9,144
Barisal,1954,10,169
Barisal,1954,11,1
Barisal,1954,12,6
Barisal,1956,1,17
Barisal,1956,2,0
Barisal,1956,3,20
Barisal,1956,4,92
Barisal,1956,5,343
Barisal,1956,6,784
Barisal,1956,7,319
Barisal,1956,8,497
Barisal,1956,9,700
Barisal,1956,10,184
Barisal,1956,11,46
Barisal,1956,12,0
Barisal,1957,1,104
Barisal,1957,2,13
Barisal,1957,3,0
Barisal,1957,4,1
Barisal,1957,5,22
Barisal,1957,6,244
Barisal,1957,7,564
Barisal,1957,8,286
Barisal,1957,9,216
Barisal,1957,10,52
Barisal,1957,11,0
Barisal,1957,12,0
Barisal,1958,1,0
Barisal,1958,2,12
Barisal,1958,4,129
Barisal,1958,5,289
Barisal,1958,6,171
Barisal,1958,7,414
Barisal,1958,8,268
Barisal,1958,9,321
Barisal,1958,10,208
Barisal,1958,11,0
Barisal,1958,12,0
Barisal,1959,1,24
Barisal,1959,2,5
Barisal,1959,3,59
Barisal,1959,4,59
Barisal,1959,5,258
Barisal,1959,6,377
Barisal,1959,7,751
Barisal,1959,8,621
Barisal,1959,9,608
Barisal,1959,10,475
Barisal,1959,11,0
