Station_Name,Year,Month,Thunderstorm,Lightning
Bhola,2022,1,0,0
Bhola,2022,2,3,1
Bhola,2022,3,0,0
Bhola,2022,4,3,0
Bhola,2022,5,11,0
Bhola,2022,6,24,1
Bhola,2022,7,6,0
Bhola,2022,8,5,1
Bhola,2022,9,9,1
Bhola,2022,10,2,0
Bhola,2022,11,0,0
Bhola,2022,12,0,0
Bhola,2023,1,0,0
Bhola,2023,2,0,0
Bhola,2023,3,23,0
Bhola,2023,4,6,1
Bhola,2023,5,20,1
Bhola,2023,6,13,2
Bhola,2023,7,1,0
Bhola,2023,8,5,1
Bhola,2023,9,14,0
Bhola,2023,10,4,0
Bhola,2023,11,0,0
Bhola,2023,12,0,0
Bhola,2024,1,0,0
Bhola,2024,2,1,0
Bhola,2024,3,11,1
Bhola,2024,4,5,0
Bhola,2024,5,34,0
Bhola,2024,6,9,2
Bhola,2024,7,5,0
Bogura,2015,1,0,0
Bogura,2015,2,6,0
Bogura,2015,3,15,0
Bogura,2015,4,57,0
Bogura,2015,5,71,3
Bogura,2015,6,104,1
Bogura,2015,7,,4
Bogura,2015,8,,0
Bogura,2015,9,,0
Bogura,2015,10,,0
Bogura,2015,11,,0
Bogura,2015,12,,0
Bogura,2016,1,0,0
Bogura,2016,2,0,0
Bogura,2016,3,11,3
Bogura,2016,4,3,1
Bogura,2016,5,48,3
Bogura,2016,6,15,0
Bogura,2016,7,5,2
Bogura,2016,8,25,5
Bogura,2016,9,54,4
Bogura,2016,10,14,2
Bogura,2016,11,0,0
Bogura,2016,12,0,0
Bogura,2017,1,0,0
Bogura,2017,2,0,0
Bogura,2017,3,16,2
Bogura,2017,4,38,3
Bogura,2017,5,36,4
Bogura,2017,6,30,1
Bogura,2017,7,16,3
Bogura,2017,8,31,3
Bogura,2017,9,49,2
Bogura,2017,10,18,1
Bogura,2017,11,0,0
Bogura,2017,12,0,0
Bogura,2018,1,0,0
Bogura,2018,2,8,0
Bogura,2018,3,6,0
Bogura,2018,4,34,2
Bogura,2018,5,34,1
Bogura,2018,6,34,1
Bogura,2018,7,22,1
Bogura,2018,8,14,4
Bogura,2018,9,17,2
Bogura,2018,10,0,0
Bogura,2018,11,0,0
Bogura,2018,12,0,0
Bogura,2019,1,0,0
Bogura,2019,2,1,0
Bogura,2019,3,13,0
Bogura,2019,4,22,1
Bogura,2019,5,37,1
Bogura,2019,6,43,0
Bogura,2019,7,58,0
Bogura,2019,8,16,0
Bogura,2019,9,12,0
Bogura,2019,10,32,0
Bogura,2019,11,0,0
Bogura,2019,12,0,0
Bogura,2020,1,0,0
Bogura,2020,2,1,0
Bogura,2020,3,13,0
Bogura,2020,4,22,0
Bogura,2020,5,37,2
Bogura,2020,6,43,1
Bogura,2020,7,57,2
Bogura,2020,8,16,1
Bogura,2020,9,12,2
Bogura,2020,10,32,0
Bogura,2020,11,0,0
Bogura,2020,12,0,0
Bogura,2021,1,0,0
Bogura,2021,2,2,0
Bogura,2021,3,7,0
Bogura,2021,4,34,1
Bogura,2021,5,39,0
Bogura,2021,6,18,0
Bogura,2021,7,23,0
Bogura,2021,8,18,2
Bogura,2021,9,46,1
Bogura,2021,10,12,2
Bogura,2021,11,0,0
Bogura,2021,12,0,0
Bogura,2022,1,0,0
Bogura,2022,2,0,0
Bogura,2022,3,3,0
Bogura,2022,4,12,1
Bogura,2022,5,55,0
Bogura,2022,6,48,1
Bogura,2022,7,20,0
Bogura,2022,8,43,0
Bogura,2022,9,24,0
Bogura,2022,10,10,0
Bogura,2022,11,0,0
Bogura,2022,12,0,0
Bogura,2023,1,4,0
Bogura,2023,2,5,0
Bogura,2023,3,0,0
Bogura,2023,4,18,0
Bogura,2023,5,37,0
Bogura,2023,6,31,0
Bogura,2023,7,17,1
Bogura,2023,8,5,1
Bogura,2023,9,43,1
Bogura,2023,10,6,0
Bogura,2023,11,0,0
Bogura,2023,12,0,0
Bogura,2024,1,0,0
Bogura,2024,2,0,0
Bogura,2024,3,12,1
Bogura,2024,4,15,0
Bogura,2024,5,31,0
Bogura,2024,6,22,1
Bogura,2024,7,11,
Bogura,2024,8,15,
Bogura,2024,9,36,
Bogura,2024,10,8,
Bogura,2024,11,0,
Bogura,2024,12,0,
Chandpur,2015,1,0,0
Chandpur,2015,2,5,0
Chandpur,2015,3,4,0
Chandpur,2015,4,41,0
Chandpur,2015,5,22,0
Chandpur,2015,6,52,0
Chandpur,2015,7,77,0
Chandpur,2015,8,12,0
Chandpur,2015,9,19,0
Chandpur,2015,10,10,0
Chandpur,2015,11,0,0
Chandpur,2015,12,0,0
Chandpur,2016,1,0,0
Chandpur,2016,2,13,0
Chandpur,2016,3,25,0
Chandpur,2016,4,7,1
Chandpur,2016,5,55,0
Chandpur,2016,6,16,4
Chandpur,2016,7,4,0
Chandpur,2016,8,23,4
Chandpur,2016,9,14,0
Chandpur,2016,10,8,1
Chandpur,2016,11,0,0
Chandpur,2016,12,0,0
Chandpur,2017,1,0,0
Chandpur,2017,2,0,0
Chandpur,2017,3,12,2
Chandpur,2017,4,41,0
Chandpur,2017,5,21,2
Chandpur,2017,6,37,1
Chandpur,2017,7,8,0
Chandpur,2017,8,32,1
Chandpur,2017,9,15,0
Chandpur,2017,10,3,0
Chandpur,2017,11,0,0
Chandpur,2017,12,0,0
Chandpur,2018,1,0,0
Chandpur,2018,2,1,0
Chandpur,2018,3,5,0
Chandpur,2018,4,32,5
Chandpur,2018,5,52,5
Chandpur,2018,6,35,0
Chandpur,2018,7,4,1
Chandpur,2018,8,7,3
Chandpur,2018,9,12,1
Chandpur,2018,10,0,0
Chandpur,2018,11,0,0
Chandpur,2018,12,0,0
Chandpur,2019,1,0,0
Chandpur,2019,2,16,0
Chandpur,2019,3,13,1
Chandpur,2019,4,25,2
Chandpur,2019,5,14,2
Chandpur,2019,6,24,0
Chandpur,2019,7,14,0
Chandpur,2019,8,5,1
Chandpur,2019,9,17,0
Chandpur,2019,10,11,0
Chandpur,2019,11,0,0
Chandpur,2019,12,0,0
Chandpur,2020,1,0,0
Chandpur,2020,2,0,2
Chandpur,2020,3,0,0
Chandpur,2020,4,2,4
Chandpur,2020,5,2,45
Chandpur,2020,6,2,20
Chandpur,2020,7,0,12
Chandpur,2020,8,0,7
Chandpur,2020,9,0,14
Chandpur,2020,10,0,4
Chandpur,2020,11,0,2
Chandpur,2020,12,0,0
Chandpur,2021,1,0,0
Chandpur,2021,2,0,0
Chandpur,2021,3,0,0
Chandpur,2021,4,0,1
Chandpur,2021,5,0,3
Chandpur,2021,6,1,21
Chandpur,2021,7,0,12
Chandpur,2021,8,0,9
Chandpur,2021,9,0,11
Chandpur,2021,10,0,14
Chandpur,2021,11,0,6
Chandpur,2021,12,0,0
Chandpur,2022,1,0,0
Chandpur,2022,2,0,0
Chandpur,2022,3,0,5
Chandpur,2022,4,0,0
Chandpur,2022,5,0,11
Chandpur,2022,6,1,15
Chandpur,2022,7,0,18
Chandpur,2022,8,0,7
Chandpur,2022,9,6,9
Chandpur,2022,10,0,19
Chandpur,2022,11,0,13
Chandpur,2022,12,0,0
Chandpur,2023,1,0,0
Chandpur,2023,2,0,0
Chandpur,2023,3,2,0
Chandpur,2023,4,4,25
Chandpur,2023,5,1,18
Chandpur,2023,6,18,27
Chandpur,2023,7,24,29
Chandpur,2023,8,24,7
Chandpur,2023,9,24,17
Chandpur,2023,10,3,17
Chandpur,2023,11,5,0
Chandpur,2023,12,3,0
Chandpur,2024,1,0,0
Chandpur,2024,2,3,0
Chandpur,2024,3,9,6
Chandpur,2024,4,3,19
Chandpur,2024,5,1,11
Chandpur,2024,6,5,22
Chandpur,2024,7,2,7
Chandpur,2024,8,,6
Chittagong,2015,1,0,0
Chittagong,2015,2,0,0
Chittagong,2015,3,9,1
Chittagong,2015,4,39,2
Chittagong,2015,5,12,0
Chittagong,2015,6,18,2
Chittagong,2015,7,12,1
Chittagong,2015,8,3,3
Chittagong,2015,9,9,4
Chittagong,2015,10,24,4
Chittagong,2015,11,0,0
Chittagong,2015,12,0,0
Chittagong,2016,1,0,0
Chittagong,2016,2,3,0
Chittagong,2016,3,9,1
Chittagong,2016,4,6,0
Chittagong,2016,5,19,1
Chittagong,2016,6,15,3
Chittagong,2016,7,7,1
Chittagong,2016,8,14,3
Chittagong,2016,9,23,4
Chittagong,2016,10,9,8
Chittagong,2016,11,5,0
Chittagong,2016,12,0,0
Chittagong,2017,1,0,0
Chittagong,2017,2,0,0
Chittagong,2017,3,9,1
Chittagong,2017,4,37,0
Chittagong,2017,5,12,1
Chittagong,2017,6,36,5
Chittagong,2017,7,4,0
Chittagong,2017,8,4,2
Chittagong,2017,9,19,8
Chittagong,2017,10,2,7
Chittagong,2017,11,0,0
Chittagong,2017,12,0,0
Chittagong,2018,1,0,0
Chittagong,2018,2,0,0
Chittagong,2018,3,1,0
Chittagong,2018,4,12,0
Chittagong,2018,5,22,1
Chittagong,2018,6,13,0
Chittagong,2018,7,1,0
Chittagong,2018,8,11,2
Chittagong,2018,9,11,2
Chittagong,2018,10,10,0
Chittagong,2018,11,0,0
Chittagong,2018,12,0,0
Chittagong,2019,1,0,0
Chittagong,2019,2,4,0
Chittagong,2019,3,2,0
Chittagong,2019,4,8,1
Chittagong,2019,5,18,1
Chittagong,2019,6,15,1
Chittagong,2019,7,3,0
Chittagong,2019,8,8,2
Chittagong,2019,9,10,4
Chittagong,2019,10,10,0
Chittagong,2019,11,0,1
Chittagong,2019,12,0,0
Chuadanga,2015,1,0,0
Chuadanga,2015,2,0,0
Chuadanga,2015,3,7,0
Chuadanga,2015,4,0,1
Chuadanga,2015,5,30,2
Chuadanga,2015,6,61,2
Chuadanga,2015,7,,1
Chuadanga,2015,8,,1
Chuadanga,2015,9,,1
Chuadanga,2015,10,,0
Chuadanga,2015,11,,0
Chuadanga,2015,12,,0
Chuadanga,2016,1,0,0
Chuadanga,2016,2,8,2
Chuadanga,2016,3,14,1
Chuadanga,2016,4,8,1
Chuadanga,2016,5,40,3
Chuadanga,2016,6,29,1
Chuadanga,2016,7,24,5
Chuadanga,2016,8,22,3
Chuadanga,2016,9,36,2
Chuadanga,2016,10,10,3
Chuadanga,2016,11,0,1
Chuadanga,2016,12,0,0
Chuadanga,2017,1,0,0
Chuadanga,2017,2,0,0
Chuadanga,2017,3,8,1
Chuadanga,2017,4,23,4
Chuadanga,2017,5,36,1
Chuadanga,2017,6,35,6
Chuadanga,2017,7,39,2
Chuadanga,2017,8,33,2
Chuadanga,2017,9,32,1
Chuadanga,2017,10,17,0
Chuadanga,2017,11,0,0
Chuadanga,2017,12,0,0
Chuadanga,2018,1,0,0
Chuadanga,2018,2,2,0
Chuadanga,2018,3,1,0
Chuadanga,2018,4,35,4
Chuadanga,2018,5,48,1
Chuadanga,2018,6,27,4
Chuadanga,2018,7,31,1
Chuadanga,2018,8,15,1
Chuadanga,2018,9,23,3
Chuadanga,2018,10,3,1
Chuadanga,2018,11,0,0
Chuadanga,2018,12,0,0
Chuadanga,2019,1,0,0
Chuadanga,2019,2,21,0
Chuadanga,2019,3,17,0
