Station_Name,Year,Month,Measure,Type,Value,Source_Organization,Source_File,Source_Sheet,Block
Rangpur,2012,4,Temperature,Minimum,21.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2012,5,Temperature,Minimum,23.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2012,6,Temperature,Minimum,25.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2012,7,Temperature,Minimum,26.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2012,8,Temperature,Minimum,26.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2012,9,Temperature,Minimum,25.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2012,10,Temperature,Minimum,22.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2012,11,Temperature,Minimum,16.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2012,12,Temperature,Minimum,12.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2013,1,Temperature,Minimum,9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2013,2,Temperature,Minimum,14.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2013,3,Temperature,Minimum,18.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2013,4,Temperature,Minimum,21.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2013,5,Temperature,Minimum,23.7,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2013,6,Temperature,Minimum,26.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2013,7,Temperature,Minimum,26.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2013,8,Temperature,Minimum,26.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2013,9,Temperature,Minimum,26.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2013,10,Temperature,Minimum,23.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2013,11,Temperature,Minimum,16.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2013,12,Temperature,Minimum,13.6,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2014,1,Temperature,Minimum,11.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2014,2,Temperature,Minimum,12.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2014,3,Temperature,Minimum,17.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2014,4,Temperature,Minimum,21.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2014,5,Temperature,Minimum,23.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2014,6,Temperature,Minimum,26.2,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2014,7,Temperature,Minimum,26.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2014,8,Temperature,Minimum,26,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2014,9,Temperature,Minimum,25.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2014,10,Temperature,Minimum,23,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2014,11,Temperature,Minimum,17.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2014,12,Temperature,Minimum,13.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2015,1,Temperature,Minimum,12,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2015,2,Temperature,Minimum,14.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2015,3,Temperature,Minimum,18.1,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2015,4,Temperature,Minimum,20.9,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2015,5,Temperature,Minimum,23.3,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2015,6,Temperature,Minimum,25.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2015,7,Temperature,Minimum,26.6,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2015,8,Temperature,Minimum,26.4,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2015,9,Temperature,Minimum,25.8,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2015,10,Temperature,Minimum,23.5,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
Rangpur,2015,11,Temperature,Minimum,18.6,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.02,B01
