WQ_Station_Name,Year,Parameter_Type,Value,Block
"Near S.P Bridge, Bogra (Up stream)",2018,Biochemical Oxygen Demand,4.34,B23
"Near S.P Bridge, Bogra (Down stream)",2018,Biochemical Oxygen Demand,4.35,B23
"Shahjadpur, Sirajgonj (Up stream)",2018,Biochemical Oxygen Demand,2.21,B23
"Shahjadpur, Sirajgonj (Down stream)",2018,Biochemical Oxygen Demand,2.2,B23
Near Tista Bridge (U.S),2018,Biochemical Oxygen Demand,2.25,B23
Near Tista Bridge (D.S),2018,Biochemical Oxygen Demand,2.18,B23
Mendibag Point,2018,Biochemical Oxygen Demand,2.05,B23
Kin Bridge Point,2018,Biochemical Oxygen Demand,2.04,B23
Sheaik Ghat,2018,Biochemical Oxygen Demand,2.02,B23
Chhatak,2018,Biochemical Oxygen Demand,2.2,B23
Fenchuganj Point,2018,Biochemical Oxygen Demand,1.98,B23
Mirpur Bridge,2019,Biochemical Oxygen Demand,10.82,B23
Hajaribag,2019,Biochemical Oxygen Demand,10.49,B23
Kamrangir Char,2019,Biochemical Oxygen Demand,10.03,B23
Chadnighat,2019,Biochemical Oxygen Demand,10.15,B23
Sadar Ghat,2019,Biochemical Oxygen Demand,10.88,B23
Pagla,2019,Biochemical Oxygen Demand,8.7,B23
Bangladesg China Frendship Bridge,2019,Biochemical Oxygen Demand,12.07,B23
Demra Ghat,2019,Biochemical Oxygen Demand,10.28,B23
Ghorashal F.F.,2019,Biochemical Oxygen Demand,4.89,B23
Near ACI Factory,2019,Biochemical Oxygen Demand,7.67,B23
Near Jaber & Jubair Fabrics Ltd. Tongi,2019,Biochemical Oxygen Demand,15.4,B23
"Near Hossain Dyeing Ltd. Pagar, Tongi",2019,Biochemical Oxygen Demand,15.55,B23
"Near Damra University College, Demra, Dhaka",2019,Biochemical Oxygen Demand,17.43,B23
"Near Balu Bridge, 300 feet Road, Dhaka",2019,Biochemical Oxygen Demand,17.49,B23
New Gabtoli Bridge,2019,Biochemical Oxygen Demand,11.72,B23
Mirpur Diabary BIWTA Landing Station,2019,Biochemical Oxygen Demand,13.45,B23
Ashulia BIWTA Landing Station,2019,Biochemical Oxygen Demand,15.67,B23
Tongi Istima Mat,2019,Biochemical Oxygen Demand,17.58,B23
CETP (Up),2019,Biochemical Oxygen Demand,2.72,B23
CETP (Dr),2019,Biochemical Oxygen Demand,5.44,B23
CETP (DN),2019,Biochemical Oxygen Demand,2.84,B23
Mymensingh,2019,Biochemical Oxygen Demand,2.43,B23
Bhadurabad Ghat,2019,Biochemical Oxygen Demand,2.1,B23
Near Jamuna Fertilizer Factory,2019,Biochemical Oxygen Demand,3,B23
"Fulchari Ghat, Gibanda (US)",2019,Biochemical Oxygen Demand,2.24,B23
"Fulchari Ghat, Gibanda (DS)",2019,Biochemical Oxygen Demand,2.23,B23
"Shariakandi Groin Badth, Bogra (US)",2019,Biochemical Oxygen Demand,2.18,B23
"Shariakandi Groin Badth, Bogra (DS)",2019,Biochemical Oxygen Demand,2.18,B23
Near Banabandhu Bridge (US),2019,Biochemical Oxygen Demand,2.18,B23
Near Banabandhu Bridge (DS),2019,Biochemical Oxygen Demand,2.19,B23
"Bheutha Ghat, Manikgonj",2019,Biochemical Oxygen Demand,3.67,B23
Bhairob Bazar,2019,Biochemical Oxygen Demand,3.48,B23
Meghna Ghat,2019,Biochemical Oxygen Demand,4.14,B23
N. S. P. M,2019,Biochemical Oxygen Demand,8.44,B23
Mawa Ghat,2019,Biochemical Oxygen Demand,2.26,B23
Shimulia Ghat,2019,Biochemical Oxygen Demand,2.9,B23
Pakshi Ghat (US),2019,Biochemical Oxygen Demand,2.22,B23
Pakshi Ghat (DS),2019,Biochemical Oxygen Demand,2.18,B23
Baro kuti Ghat (U.S),2019,Biochemical Oxygen Demand,2.27,B23
Baro kuti Ghat (D.S),2019,Biochemical Oxygen Demand,2.25,B23
Noapara Ghat (S),2019,Biochemical Oxygen Demand,0.84,B23
Noapara Ghat (M),2019,Biochemical Oxygen Demand,0.85,B23
Noapara Ghat (O),2019,Biochemical Oxygen Demand,0.85,B23
Fultala Ghat(S),2019,Biochemical Oxygen Demand,0.9,B23
Fultala Ghat (M),2019,Biochemical Oxygen Demand,0.91,B23
Fultala Ghat (O),2019,Biochemical Oxygen Demand,0.93,B23
Kustia (S.P),2019,Biochemical Oxygen Demand,1.12,B23
Kustia (M.P),2019,Biochemical Oxygen Demand,1.08,B23
Kustia (O.P),2019,Biochemical Oxygen Demand,1.08,B23
Magura (S.P),2019,Biochemical Oxygen Demand,0.91,B23
Magura (M.P),2019,Biochemical Oxygen Demand,0.91,B23
Magura (O.P),2019,Biochemical Oxygen Demand,0.9,B23
"Pipe Ghat,(M.P)",2019,Biochemical Oxygen Demand,0.6,B23
"Pipe Ghat, (U.S)",2019,Biochemical Oxygen Demand,0.64,B23
"PipeGhat, (D.S)",2019,Biochemical Oxygen Demand,0.57,B23
Bagerhat (O.S),2019,Biochemical Oxygen Demand,0.67,B23
Bagerhat (M.S),2019,Biochemical Oxygen Demand,0.71,B23
Bagerhat (O.S),2019,Biochemical Oxygen Demand,0.63,B23
Mongla Poart (S.P),2019,Biochemical Oxygen Demand,0.91,B23
Mongla Poart (M.P),2019,Biochemical Oxygen Demand,0.95,B23
Mongla Poart (O.P),2019,Biochemical Oxygen Demand,0.93,B23
Rupsha Ghat (S),2019,Biochemical Oxygen Demand,1.15,B23
Rupsha Ghat (M),2019,Biochemical Oxygen Demand,1.17,B23
Rupsha Ghat (O),2019,Biochemical Oxygen Demand,1.12,B23
Labanchara Ghat (S),2019,Biochemical Oxygen Demand,1.18,B23
Labanchara Ghat (M),2019,Biochemical Oxygen Demand,1.18,B23
Labanchara Ghat (O),2019,Biochemical Oxygen Demand,1.15,B23
Kaliganj (S.P),2019,Biochemical Oxygen Demand,1.09,B23
Kaliganj (M.P),2019,Biochemical Oxygen Demand,1.07,B23
Kaliganj (O.P),2019,Biochemical Oxygen Demand,1.1,B23
Launch Ghat (S),2019,Biochemical Oxygen Demand,1.99,B23
Launch Ghat (M),2019,Biochemical Oxygen Demand,2,B23
Dopdopia Kheyaghat (S),2019,Biochemical Oxygen Demand,2.09,B23
Dopdopia Kheyaghat (M),2019,Biochemical Oxygen Demand,2.07,B23
Beltola Fery Gaht (S),2019,Biochemical Oxygen Demand,2.04,B23
Beltola Fery Gaht (M),2019,Biochemical Oxygen Demand,2.04,B23
Vadura Launch Ghat (S),2019,Biochemical Oxygen Demand,1.98,B23
Vadura Launch Ghat (M),2019,Biochemical Oxygen Demand,2.03,B23
Jhalkathi L.G (S),2019,Biochemical Oxygen Demand,2.01,B23
Jhalkathi L.G (M),2019,Biochemical Oxygen Demand,2.09,B23
Patuakhali Launch Ghat (S),2019,Biochemical Oxygen Demand,1.95,B23
Patuakhali Launch Ghat (M),2019,Biochemical Oxygen Demand,2.05,B23
"Near Dutta Bari Bridge, Bogra (Up stream)",2019,Biochemical Oxygen Demand,5.06,B23
"Near Dutta Bari Bridge, Bogra (Down stream)",2019,Biochemical Oxygen Demand,5.08,B23
"Near Foteh Ali Bridge, Bogra (Up stream)",2019,Biochemical Oxygen Demand,4.98,B23
"Near Foteh Ali Bridge, Bogra (Down stream)",2019,Biochemical Oxygen Demand,5.01,B23
"Near Matidali Bridge, Bogra (Up stream)",2019,Biochemical Oxygen Demand,4.62,B23
"Near Matidali Bridge, Bogra (Down stream)",2019,Biochemical Oxygen Demand,4.58,B23
"Near S.P Bridge, Bogra (Up stream)",2019,Biochemical Oxygen Demand,5.03,B23
"Near S.P Bridge, Bogra (Down stream)",2019,Biochemical Oxygen Demand,5.03,B23
"Shahjadpur, Sirajgonj (Up stream)",2019,Biochemical Oxygen Demand,2.64,B23
"Shahjadpur, Sirajgonj (Down stream)",2019,Biochemical Oxygen Demand,2.66,B23
Near Tista Bridge (U.S),2019,Biochemical Oxygen Demand,2.2,B23
Near Tista Bridge (D.S),2019,Biochemical Oxygen Demand,2.18,B23
Mendibag Point,2019,Biochemical Oxygen Demand,2.96,B23
Kin Bridge Point,2019,Biochemical Oxygen Demand,3.16,B23
Sheaik Ghat,2019,Biochemical Oxygen Demand,3.24,B23
Chhatak,2019,Biochemical Oxygen Demand,2.1,B23
Kazir Bazar,2019,Biochemical Oxygen Demand,3.23,B23
Kushiyara Point,2019,Biochemical Oxygen Demand,2.8,B23
Mirpur Bridge,2020,Biochemical Oxygen Demand,12.58,B23
Hajaribag,2020,Biochemical Oxygen Demand,13.53,B23
Kamrangir Char,2020,Biochemical Oxygen Demand,13.17,B23
Chadnighat,2020,Biochemical Oxygen Demand,14.7,B23
Sadar Ghat,2020,Biochemical Oxygen Demand,13.4,B23
Pagla,2020,Biochemical Oxygen Demand,14.32,B23
Bangladesg China Frendship Bridge,2020,Biochemical Oxygen Demand,13.97,B23
Demra Ghat,2020,Biochemical Oxygen Demand,15.68,B23
Ghorashal F.F.,2020,Biochemical Oxygen Demand,9.69,B23
Near ACI Factory,2020,Biochemical Oxygen Demand,21.68,B23
Neaer Kanchpur Bridge,2020,Biochemical Oxygen Demand,10.8,B23
Near Jaber & Jubair Fabrics Ltd. Tongi,2020,Biochemical Oxygen Demand,23.25,B23
"Near Hossain Dyeing Ltd. Pagar, Tongi",2020,Biochemical Oxygen Demand,22.67,B23
"Near Damra University College, Demra, Dhaka",2020,Biochemical Oxygen Demand,19.98,B23
"Near Balu Bridge, 300 feet Road, Dhaka",2020,Biochemical Oxygen Demand,20.83,B23
"Near Fulpukuria Dyeing Ltd. Pagar, Tongi",2020,Biochemical Oxygen Demand,30,B23
New Gabtoli Bridge,2020,Biochemical Oxygen Demand,14.98,B23
Mirpur Diabary BIWTA Landing Station,2020,Biochemical Oxygen Demand,17.13,B23
Ashulia BIWTA Landing Station,2020,Biochemical Oxygen Demand,22.6,B23
Tongi Istima Mat,2020,Biochemical Oxygen Demand,19.2,B23
"North Side of Tongi Bridge, Pagar",2020,Biochemical Oxygen Demand,25.97,B23
Muktarpur Bridge,2020,Biochemical Oxygen Demand,7,B23
Mymensingh,2020,Biochemical Oxygen Demand,10.5,B23
Near Jamuna Fertilizer Factory,2020,Biochemical Oxygen Demand,8,B23
Near Bangabandhu Bridge (US),2020,Biochemical Oxygen Demand,2.3,B23
Near Bangabandhu Bridge (US),2020,Biochemical Oxygen Demand,2.28,B23
"Fulchari Ghat, Gibanda (US)",2020,Biochemical Oxygen Demand,2.24,B23
"Fulchari Ghat, Gibanda (DS)",2020,Biochemical Oxygen Demand,2.22,B23
Shariakandi Groin Badth (US),2020,Biochemical Oxygen Demand,2.23,B23
Shariakandi Groin Badth (DS),2020,Biochemical Oxygen Demand,2.24,B23
"Bheutha Ghat, Manikgonj",2020,Biochemical Oxygen Demand,3.67,B23
Bhairob Bazar,2020,Biochemical Oxygen Demand,3.48,B23
Meghna Ghat,2020,Biochemical Oxygen Demand,4.14,B23
N. S. P. M,2020,Biochemical Oxygen Demand,8.44,B23
Mawa Ghat,2020,Biochemical Oxygen Demand,5.82,B23
Shimulia Ghat,2020,Biochemical Oxygen Demand,12.5,B23
Pakshi Ghat (US),2020,Biochemical Oxygen Demand,2.26,B23
Pakshi Ghat (DS),2020,Biochemical Oxygen Demand,2.23,B23
Baro kuti Ghat (U.S),2020,Biochemical Oxygen Demand,2.33,B23
Baro kuti Ghat (D.S),2020,Biochemical Oxygen Demand,2.31,B23
CUFL Side Anowara,2020,Biochemical Oxygen Demand,628.42,B23
"TSP Side, Patenga",2020,Biochemical Oxygen Demand,457.83,B23
KAFCO side,2020,Biochemical Oxygen Demand,504.17,B23
15 no Ghat,2020,Biochemical Oxygen Demand,155,B23
Karnafully Mohona,2020,Biochemical Oxygen Demand,673,B23
1km Straight from patenga sea beach,2020,Biochemical Oxygen Demand,786.17,B23
Patenga charpara,2020,Biochemical Oxygen Demand,580.75,B23
1km Straight from CEPZ,2020,Biochemical Oxygen Demand,615.25,B23
Vatiyari Shipyard Area,2020,Biochemical Oxygen Demand,327.89,B23
Noapara Ghat (S),2020,Biochemical Oxygen Demand,1.5,B23
Noapara Ghat (M),2020,Biochemical Oxygen Demand,1.5,B23
Noapara Ghat (O),2020,Biochemical Oxygen Demand,1.5,B23
Fultala Ghat(S),2020,Biochemical Oxygen Demand,1.57,B23
Fultala Ghat (M),2020,Biochemical Oxygen Demand,1.57,B23
Fultala Ghat (O),2020,Biochemical Oxygen Demand,1.57,B23
Kustia (S.P),2020,Biochemical Oxygen Demand,1.52,B23
Kustia (M.P),2020,Biochemical Oxygen Demand,1.52,B23
Kustia (O.P),2020,Biochemical Oxygen Demand,1.52,B23
Magura (S.P),2020,Biochemical Oxygen Demand,1.22,B23
Magura (M.P),2020,Biochemical Oxygen Demand,1.2,B23
Magura (O.P),2020,Biochemical Oxygen Demand,1.22,B23
Pipe Ghat (M.P),2020,Biochemical Oxygen Demand,0.7,B23
Pipe Ghat (U.S),2020,Biochemical Oxygen Demand,0.44,B23
Pipe Ghat (D.S),2020,Biochemical Oxygen Demand,0.56,B23
Bagerhat (O.S),2020,Biochemical Oxygen Demand,1.56,B23
Bagerhat (M.S),2020,Biochemical Oxygen Demand,1.58,B23
Bagerhat (O.S),2020,Biochemical Oxygen Demand,1.54,B23
Mongla Poart (S.P),2020,Biochemical Oxygen Demand,1.52,B23
Mongla Poart (M.P),2020,Biochemical Oxygen Demand,1.52,B23
Mongla Poart (O.P),2020,Biochemical Oxygen Demand,1.52,B23
Rupsha Ghat (S),2020,Biochemical Oxygen Demand,1.3,B23
Rupsha Ghat (M),2020,Biochemical Oxygen Demand,1.32,B23
Rupsha Ghat (O),2020,Biochemical Oxygen Demand,1.28,B23
Labanchara Ghat (S),2020,Biochemical Oxygen Demand,1.47,B23
Labanchara Ghat (M),2020,Biochemical Oxygen Demand,1.47,B23
Labanchara Ghat (O),2020,Biochemical Oxygen Demand,1.45,B23
Kaliganj (S.P),2020,Biochemical Oxygen Demand,1.24,B23
Kaliganj (M.P),2020,Biochemical Oxygen Demand,1.22,B23
Kaliganj (O.P),2020,Biochemical Oxygen Demand,1.24,B23
Launch Ghat (S),2020,Biochemical Oxygen Demand,2.56,B23
Launch Ghat (M),2020,Biochemical Oxygen Demand,2.58,B23
Dopdopia Kheyaghat (S),2020,Biochemical Oxygen Demand,2.43,B23
Dopdopia Kheyaghat (M),2020,Biochemical Oxygen Demand,2.41,B23
Beltola Fery Gaht (S),2020,Biochemical Oxygen Demand,2.48,B23
Beltola Fery Gaht (M),2020,Biochemical Oxygen Demand,2.55,B23
Vadura Launch Ghat (S),2020,Biochemical Oxygen Demand,2.87,B23
Vadura Launch Ghat (M),2020,Biochemical Oxygen Demand,3.03,B23
Jhalkathi L.G (S),2020,Biochemical Oxygen Demand,2.1,B23
Jhalkathi L.G (M),2020,Biochemical Oxygen Demand,1.95,B23
Patuakhali Launch Ghat (S),2020,Biochemical Oxygen Demand,2.6,B23
Patuakhali Launch Ghat (M),2020,Biochemical Oxygen Demand,2.4,B23
"Near Dutta Bari Bridge, Bogura (Upstream)",2020,Biochemical Oxygen Demand,5.36,B23
"Near Dutta Bari Bridge, Bogura (Downstream)",2020,Biochemical Oxygen Demand,5.36,B23
"Near Foteh Ali Bridge, Bogura (Upstream)",2020,Biochemical Oxygen Demand,5.27,B23
"Near Foteh Ali Bridge, Bogura (Downstream)",2020,Biochemical Oxygen Demand,5.27,B23
"Near Matidali Bridge, Bogura (Upstream)",2020,Biochemical Oxygen Demand,4.93,B23
"Near Matidali Bridge, Bogura (Downstream)",2020,Biochemical Oxygen Demand,4.93,B23
"Near S.P Bridge, Bogura (Upstream)",2020,Biochemical Oxygen Demand,5.52,B23
"Near S.P Bridge, Bogura (Downstream)",2020,Biochemical Oxygen Demand,5.52,B23
"Shahjadpur, Sirajganj (Upstream)",2020,Biochemical Oxygen Demand,2.26,B23
"Shahjadpur, Sirajganj (Downstream)",2020,Biochemical Oxygen Demand,2.28,B23
Near Tista Bridge (U.S),2020,Biochemical Oxygen Demand,2.26,B23
Near Tista Bridge (D.S),2020,Biochemical Oxygen Demand,2.24,B23
Mendibag Point,2020,Biochemical Oxygen Demand,2.02,B23
Kin Bridge Point,2020,Biochemical Oxygen Demand,2.28,B23
Sheaik Ghat,2020,Biochemical Oxygen Demand,2.27,B23
Chhatak,2020,Biochemical Oxygen Demand,2.14,B23
Fenchuganj Point,2020,Biochemical Oxygen Demand,2.57,B23
Mirpur Bridge,2021,Biochemical Oxygen Demand,19.56,B23
Mohammadpur,2021,Biochemical Oxygen Demand,5.8,B23
Bosila Bridge,2021,Biochemical Oxygen Demand,22.92,B23
Hajaribag,2021,Biochemical Oxygen Demand,17.3,B23
Satmosjid Road,2021,Biochemical Oxygen Demand,17.78,B23
Chadnighat,2021,Biochemical Oxygen Demand,19.44,B23
Sadarghat,2021,Biochemical Oxygen Demand,6,B23
B.C.F.B,2021,Biochemical Oxygen Demand,18.9,B23
Pagla,2021,Biochemical Oxygen Demand,17.16,B23
Fatullah,2021,Biochemical Oxygen Demand,6,B23
Port Road,2021,Biochemical Oxygen Demand,17.31,B23
Majira Demra Ghat,2021,Biochemical Oxygen Demand,13.88,B23
Murapara (Rupgonj),2021,Biochemical Oxygen Demand,9.56,B23
Gorashal,2021,Biochemical Oxygen Demand,8.83,B23
Trimohoni Bridge,2021,Biochemical Oxygen Demand,28.58,B23
Jolshiri Abason,2021,Biochemical Oxygen Demand,11.31,B23
Turag Bridge,2021,Biochemical Oxygen Demand,17.91,B23
Ashulia,2021,Biochemical Oxygen Demand,16.22,B23
Kaliakoir,2021,Biochemical Oxygen Demand,14.36,B23
Vawal,2021,Biochemical Oxygen Demand,17.69,B23
Nama Bazar,2021,Biochemical Oxygen Demand,15.09,B23
Mukterpur,2021,Biochemical Oxygen Demand,14.89,B23
Ruhitpur,2021,Biochemical Oxygen Demand,10.29,B23
Hazratpur,2021,Biochemical Oxygen Demand,10.57,B23
Alipur,2021,Biochemical Oxygen Demand,12,B23
Sirajnagor,2021,Biochemical Oxygen Demand,8.4,B23
Utorro Mitra,2021,Biochemical Oxygen Demand,9.17,B23
Pathorghata,2021,Biochemical Oxygen Demand,8.5,B23
"Rail Bridge, Shamvoganj",2021,Biochemical Oxygen Demand,4.5,B23
JamalpurRail Bridge,2021,Biochemical Oxygen Demand,5.75,B23
Sarkarkhana,2021,Biochemical Oxygen Demand,11.5,B23
Kakua,2021,Biochemical Oxygen Demand,8.33,B23
Jamuna Eco Park (UP),2021,Biochemical Oxygen Demand,2.28,B23
Jamuna Eco Park (DN),2021,Biochemical Oxygen Demand,2.28,B23
Shariakandi Kheya Ghat Growin Bandh (UP),2021,Biochemical Oxygen Demand,2.31,B23
Shariakandi Kheya Ghat Growin Bandh (DN),2021,Biochemical Oxygen Demand,2.31,B23
Horipur Kheya Ghat (UP),2021,Biochemical Oxygen Demand,2.23,B23
Horipur Kheya Ghat (DN),2021,Biochemical Oxygen Demand,2.23,B23
Mohonganj (DN),2021,Biochemical Oxygen Demand,2.22,B23
Mohonganj (UP),2021,Biochemical Oxygen Demand,2.22,B23
"Bheutha Ghat, Manikganj",2021,Biochemical Oxygen Demand,5.25,B23
Meghna Ghat,2021,Biochemical Oxygen Demand,7.38,B23
Bairob Ferry Ghat,2021,Biochemical Oxygen Demand,6.22,B23
Narshingdi Launch Ghat,2021,Biochemical Oxygen Demand,9.87,B23
Shajalal Paper,2021,Biochemical Oxygen Demand,20,B23
Annando Bazar,2021,Biochemical Oxygen Demand,4.25,B23
Bish Nondi Ghat,2021,Biochemical Oxygen Demand,7.525,B23
Josldia,2021,Biochemical Oxygen Demand,5,B23
Sitardor,2021,Biochemical Oxygen Demand,4,B23
Kandipara,2021,Biochemical Oxygen Demand,4,B23
Khoiria,2021,Biochemical Oxygen Demand,4,B23
Shimolia,2021,Biochemical Oxygen Demand,1,B23
Gordhor Bazar,2021,Biochemical Oxygen Demand,2,B23
Mawa ferry Ghat,2021,Biochemical Oxygen Demand,11.5,B23
Barha Ghat,2021,Biochemical Oxygen Demand,8,B23
CUFL,2021,Biochemical Oxygen Demand,75.64,B23
TSP,2021,Biochemical Oxygen Demand,83.27,B23
Shikalbaha,2021,Biochemical Oxygen Demand,16,B23
Kalurghat Bridge,2021,Biochemical Oxygen Demand,5.64,B23
Mariam Nagar,2021,Biochemical Oxygen Demand,5.36,B23
Karnafully Paper,2021,Biochemical Oxygen Demand,11.27,B23
Maduna Ghat,2021,Biochemical Oxygen Demand,5.83,B23
