District_Name,Well_No,Well_ID,Latitude,Longitude,Sub_Division,Upazilla,Source_Sheet,Block
Gopalganj,187,FA013,22.94,89.99,,Kotalipara,Table-6,B67
Jhalokathi,190,BA007,22.63,90.19,,Jhalokathi Sadar,Table-7,B68
Jhalokathi,191,BA019,22.61,90.16,,Rajapur,Table-7,B68
Madaripur,192,FA035,23.26,90.25,,Madaripur Sadar,Table-7,B68
Madaripur,193,FA031,23.2,90.03,,Rajoir,Table-7,B68
Madaripur,194,FA021,23.37,90.2,,Shibchar,Table-7,B68
Patuakhali,195,PT002,22.19,90.44,,Galachipa,Table-7,B68
Patuakhali,196,PT007,22.35,90.21,,Mirzaganj,Table-7,B68
Patuakhali,197,PT004,22.25,90.06,,Patuakhali Sadar,Table-7,B68
Pirojpur,198,BA021,22.41,89.97,,Bhandaria,Table-7,B68
Pirojpur,199,BA018,22.62,90.07,,Kawkhali,Table-7,B68
Pirojpur,200,BA027,22.37,89.98,,Mathbaria,Table-7,B68
Pirojpur,201,BA015,22.64,89.98,,Pirojpur Sadar,Table-7,B68
Pirojpur,202,BA016,22.72,90.12,,Nesarabad( Swarupkathi),Table-7,B68
Rajbari,203,FA009,23.69,89.58,,Baliakandi,Table-7,B68
Rajbari,204,FS009,23.71,89.78,,Goalandaghat,Table-7,B68
Rajbari,205,FA015,23.78,89.5,,Pangsha,Table-7,B68
Rajbari,206,FA016,23.68,89.71,,Rajbari Sadar,Table-7,B68
Shariatpur,207,FA024,23.2,90.45,,Bhedarganj,Table-7,B68
Shariatpur,208,FA061,23.07,90.42,,Gosairhat,Table-7,B68
Shariatpur,209,FA023,23.3,90.38,,Naria,Table-7,B68
Shariatpur,210,FS012,23.22,90.35,,Shariatpur Sadar,Table-7,B68
Shariatpur,211,FA034,23.29,90.28,,Zanjira,Table-7,B68
